random_seed,fold,threshold,r2,alpha,rutina__pitch__pitch_std,rutina__pitch__pitch_skewness,rutina__pitch__pitch_kurtosis,rutina__pitch__pitch_max,rutina__pitch__pitch_min,rutina__pitch__jitter_skewness,rutina__pitch__jitter_kurtosis,rutina__pitch__jitter_max,rutina__pitch__jitter_min,rutina__pitch__shimmer_skewness,rutina__pitch__shimmer_kurtosis,rutina__pitch__shimmer_max,rutina__pitch__shimmer_min,rutina__pitch__hnr_skewness,rutina__pitch__hnr_kurtosis,rutina__pitch__hnr_max,rutina__pitch__hnr_min,rutina__pitch__query_duration,rutina__pitch__pitch_mean,rutina__pitch__jitter_mean,rutina__pitch__jitter_std,rutina__pitch__shimmer_mean,rutina__pitch__shimmer_std,rutina__pitch__hnr_mean,rutina__pitch__hnr_std
3,0,[None],0.05601577808769398,205.84495275217952,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
3,1,[None],-0.09533302527255194,467.6909674279302,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
3,2,[None],-0.021051927721215113,245.75399916266534,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0
3,3,[None],0.09262076315181489,205.84495275217952,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
3,4,[None],-0.009408155407468533,9997.176749373206,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
