random_seed,fold,threshold,r2,n_neighbors,rutina__pitch__pitch_std,rutina__pitch__pitch_skewness,rutina__pitch__pitch_kurtosis,rutina__pitch__pitch_max,rutina__pitch__pitch_min,rutina__pitch__jitter_skewness,rutina__pitch__jitter_kurtosis,rutina__pitch__jitter_max,rutina__pitch__jitter_min,rutina__pitch__shimmer_skewness,rutina__pitch__shimmer_kurtosis,rutina__pitch__shimmer_max,rutina__pitch__shimmer_min,rutina__pitch__hnr_skewness,rutina__pitch__hnr_kurtosis,rutina__pitch__hnr_max,rutina__pitch__hnr_min,rutina__pitch__query_duration,rutina__pitch__pitch_mean,rutina__pitch__jitter_mean,rutina__pitch__jitter_std,rutina__pitch__shimmer_mean,rutina__pitch__shimmer_std,rutina__pitch__hnr_mean,rutina__pitch__hnr_std
3,0,[None],0.06312770298985027,16,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1
3,1,[None],-0.014596220956767825,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
3,2,[None],0.05072753698165655,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3,3,[None],0.055785282716523055,24,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
3,4,[None],-0.0069017969688809355,27,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
