random_seed,fold,threshold,r2,n_neighbors,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh
3,0,[None],,22,1,1,1,1
3,1,[None],,21,1,1,1,1
3,2,[None],,19,1,1,1,1
3,3,[None],,20,1,1,1,1
3,4,[None],,25,1,1,1,1
