random_seed,fold,threshold,roc_auc,C,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.9101239669421488,21.233989833916546,1,1,1,0,0,0,0,1
3,1,[None],0.921487603305785,95.07143556956098,1,0,1,0,1,1,0,0
3,2,[None],0.9235537190082644,37.45407443072437,1,1,0,0,0,1,1,1
9,0,[None],0.9710743801652892,2.0585473711308153,1,1,1,1,0,1,1,0
9,1,[None],0.8780991735537189,43.194558669709714,1,0,1,0,0,0,0,0
9,2,[None],0.8605371900826446,59.86588855385524,1,1,1,0,0,1,1,1
27,0,[None],0.9400826446280992,100.0,1,0,1,1,1,1,1,1
27,1,[None],0.9576446280991736,95.07143556956098,1,0,1,1,1,1,1,0
27,2,[None],0.8688016528925621,95.07143556956098,1,0,1,0,1,1,1,0
81,0,[None],0.9524793388429752,4.085452212578716,1,0,1,0,1,1,0,0
81,1,[None],0.8760330578512396,0.1267207632794912,1,0,0,0,0,0,0,1
81,2,[None],0.9421487603305785,5.8084554084587285,1,1,0,0,1,0,1,0
243,0,[None],0.9173553719008265,2.0585473711308153,1,1,0,0,1,0,1,0
243,1,[None],0.9545454545454546,1.5718431887518742,1,0,1,0,0,1,1,1
243,2,[None],0.8977272727272728,3.4389486726697283,1,0,0,0,0,0,0,0
729,0,[None],0.9855371900826446,66.25226218316976,1,0,1,0,0,0,1,1
729,1,[None],0.8863636363636364,0.30899340014053983,1,0,0,0,1,0,0,0
729,2,[None],0.896694214876033,5.197257614473847,1,0,1,0,0,0,0,0
2187,0,[None],0.9214876033057852,18.182578538213342,1,0,1,0,0,1,1,1
2187,1,[None],0.9338842975206613,0.5995421347619311,1,0,0,0,1,0,0,0
2187,2,[None],0.9090909090909091,0.4268459240327423,1,0,0,0,0,0,0,1
6561,0,[None],0.9276859504132231,8.552533334289988,1,0,1,1,1,1,1,0
6561,1,[None],0.8894628099173554,43.194558669709714,1,0,0,0,0,1,0,1
6561,2,[None],0.9183884297520661,83.2442808357781,1,0,0,0,0,0,1,0
19683,0,[None],0.9793388429752066,73.19942098174633,1,1,1,0,1,1,1,1
19683,1,[None],0.865702479338843,24.542661208782572,1,0,1,1,1,1,1,1
19683,2,[None],0.8646694214876032,3.9544682279251497,1,0,1,0,0,0,1,0
59049,0,[None],0.9483471074380165,95.07143556956098,1,0,1,1,0,1,1,1
59049,1,[None],0.9266528925619835,26.368832179776614,1,1,0,1,1,0,1,1
59049,2,[None],0.8822314049586777,1.5730961344777528,1,1,0,0,0,0,1,0
