random_seed,fold,threshold,roc_auc,C,gamma,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],,6.505252793368653,9488.855377644779,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,31.098301073334046,3251.833287749139,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,79.78553480947389,8561.765264185211,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,5.8084554084587285,8661.761471131736,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,96.56320674425262,8083.973500324877,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,12.203911280654397,4951.769151595011,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,60.754524435658645,1705.2413198205031,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,76.07852878318488,5612.772019567243,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,88.18060715248714,781.3443912560955,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,96.95846581799307,7751.328256097864,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,96.95846581799307,7751.328256097864,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,11.959512634405575,7132.447900905472,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,30.424293871729475,5247.564363846735,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,14.092508405053767,8021.9698273207,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,25.87807228200353,6625.222877287592,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,33.089869395462436,635.5835965044014,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,4.522824368324915,3253.3033750996105,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,53.72629697479671,6532.536684971628,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,59.79003809111063,9218.742358043744,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,61.185328286948476,1394.9386925710323,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,8.849341355941744,1959.8287045931659,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,77.1270575415599,740.4466099364384,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,6.505252793368653,9488.855377644779,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,33.089869395462436,635.5835965044014,1,1,1,1,1,1,1,1,1,1,1,1
