n_neighbors,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
20,0,1,0,0,1,1,1,0,1
20,1,0,0,1,1,0,1,1,1
20,1,1,1,1,1,0,0,0,1
20,0,0,0,1,1,0,1,1,1
20,1,1,1,0,0,1,1,1,1
20,1,1,0,0,0,1,1,1,1
20,1,1,0,1,1,1,0,0,1
20,1,1,1,0,1,1,0,0,1
20,0,1,1,0,0,1,1,1,1
20,1,1,0,0,1,0,1,0,1
20,0,1,1,0,0,1,0,1,1
20,1,1,0,0,1,0,1,1,0
30,1,1,1,1,1,0,1,0,0
30,0,0,1,1,1,1,1,0,1
30,0,1,1,1,0,1,0,0,1
30,1,0,0,0,0,0,1,1,1
30,1,1,1,1,1,1,1,1,1
30,1,0,0,1,0,1,0,1,1
30,1,0,1,1,1,1,0,1,0
30,1,1,1,0,0,0,0,1,1
30,1,0,1,1,1,0,1,0,0
30,0,1,0,0,1,1,1,0,1
30,1,0,0,1,1,0,1,1,1
30,1,1,1,1,1,0,0,0,1
30,0,0,0,1,1,0,1,1,1
30,1,1,1,0,0,1,1,1,1
30,1,1,0,0,0,1,1,1,1
30,1,1,0,1,1,1,0,0,1
30,1,1,1,0,1,1,0,0,1
30,0,1,1,0,0,1,1,1,1
30,1,1,0,0,1,0,1,0,1
30,0,1,1,0,0,1,0,1,1
30,1,1,0,0,1,0,1,1,0
27,1,1,1,1,1,0,1,0,0
27,0,0,1,1,1,1,1,0,1
27,0,1,1,1,0,1,0,0,1
27,1,0,0,0,0,0,1,1,1
27,1,1,1,1,1,1,1,1,1
27,1,0,0,1,0,1,0,1,1
27,1,0,1,1,1,1,0,1,0
27,1,1,1,0,0,0,0,1,1
27,1,0,1,1,1,0,1,0,0
27,0,1,0,0,1,1,1,0,1
27,1,0,0,1,1,0,1,1,1
27,1,1,1,1,1,0,0,0,1
27,0,0,0,1,1,0,1,1,1
27,1,1,1,0,0,1,1,1,1
27,1,1,0,0,0,1,1,1,1
27,1,1,0,1,1,1,0,0,1
27,1,1,1,0,1,1,0,0,1
27,0,1,1,0,0,1,1,1,1
27,1,1,0,0,1,0,1,0,1
27,0,1,1,0,0,1,0,1,1
27,1,1,0,0,1,0,1,1,0
7,1,1,1,1,1,0,1,0,0
7,0,0,1,1,1,1,1,0,1
7,0,1,1,1,0,1,0,0,1
7,1,0,0,0,0,0,1,1,1
7,1,1,1,1,1,1,1,1,1
7,1,0,0,1,0,1,0,1,1
7,1,0,1,1,1,1,0,1,0
7,1,1,1,0,0,0,0,1,1
7,1,0,1,1,1,0,1,0,0
7,0,1,0,0,1,1,1,0,1
7,1,0,0,1,1,0,1,1,1
7,1,1,1,1,1,0,0,0,1
7,0,0,0,1,1,0,1,1,1
7,1,1,1,0,0,1,1,1,1
7,1,1,0,0,0,1,1,1,1
7,1,1,0,1,1,1,0,0,1
7,1,1,1,0,1,1,0,0,1
7,0,1,1,0,0,1,1,1,1
7,1,1,0,0,1,0,1,0,1
7,0,1,1,0,0,1,0,1,1
7,1,1,0,0,1,0,1,1,0
2,1,1,1,1,1,0,1,0,0
2,0,0,1,1,1,1,1,0,1
2,0,1,1,1,0,1,0,0,1
2,1,0,0,0,0,0,1,1,1
2,1,1,1,1,1,1,1,1,1
2,1,0,0,1,0,1,0,1,1
2,1,0,1,1,1,1,0,1,0
2,1,1,1,0,0,0,0,1,1
2,1,0,1,1,1,0,1,0,0
2,0,1,0,0,1,1,1,0,1
2,1,0,0,1,1,0,1,1,1
2,1,1,1,1,1,0,0,0,1
2,0,0,0,1,1,0,1,1,1
2,1,1,1,0,0,1,1,1,1
2,1,1,0,0,0,1,1,1,1
2,1,1,0,1,1,1,0,0,1
2,1,1,1,0,1,1,0,0,1
2,0,1,1,0,0,1,1,1,1
2,1,1,0,0,1,0,1,0,1
2,0,1,1,0,0,1,0,1,1
2,1,1,0,0,1,0,1,1,0
22,1,1,1,1,1,0,1,0,0
22,0,0,1,1,1,1,1,0,1
22,0,1,1,1,0,1,0,0,1
22,1,0,0,0,0,0,1,1,1
22,1,1,1,1,1,1,1,1,1
22,1,0,0,1,0,1,0,1,1
22,1,0,1,1,1,1,0,1,0
22,1,1,1,0,0,0,0,1,1
22,1,0,1,1,1,0,1,0,0
22,0,1,0,0,1,1,1,0,1
22,1,0,0,1,1,0,1,1,1
22,1,1,1,1,1,0,0,0,1
22,0,0,0,1,1,0,1,1,1
22,1,1,1,0,0,1,1,1,1
22,1,1,0,0,0,1,1,1,1
22,1,1,0,1,1,1,0,0,1
22,1,1,1,0,1,1,0,0,1
22,0,1,1,0,0,1,1,1,1
22,1,1,0,0,1,0,1,0,1
22,0,1,1,0,0,1,0,1,1
22,1,1,0,0,1,0,1,1,0
