random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7572314049586777,7,11,0.9699399423098324,1,0,0,0,1,1,0
3,1,[None],0.5371900826446281,1,455,0.001,1,0,0,0,1,1,1
3,2,[None],0.5805785123966942,2,23,0.2392686842190819,1,1,1,1,1,1,1
9,0,[None],0.4328512396694215,4,141,0.5431533870750902,1,1,1,1,1,1,1
9,1,[None],0.7551652892561984,8,429,0.001,1,1,0,0,1,0,1
9,2,[None],0.7055785123966942,2,357,0.7423725046677804,1,0,0,0,0,0,0
27,0,[None],0.518595041322314,8,430,0.007945178400659513,1,1,0,1,1,0,1
27,1,[None],0.6797520661157024,1,17,1.0,1,0,0,1,0,1,1
27,2,[None],0.603305785123967,6,483,1.0,1,1,1,1,0,1,1
81,0,[None],0.7128099173553719,8,430,0.007945178400659513,0,1,1,1,0,0,1
81,1,[None],0.5454545454545455,7,478,0.001,1,0,0,0,0,0,1
81,2,[None],0.6146694214876033,3,259,0.7033159399362827,1,1,1,1,1,1,1
243,0,[None],0.6942148760330578,6,156,0.520547953156633,1,0,0,1,1,0,1
243,1,[None],0.628099173553719,8,430,0.007945178400659513,1,1,0,0,0,0,1
243,2,[None],0.5165289256198347,2,17,0.6304594031943166,1,1,1,1,1,1,1
729,0,[None],0.6632231404958677,5,13,0.001,1,0,1,0,1,1,0
729,1,[None],0.5888429752066116,1,15,0.001,1,1,1,1,1,1,1
729,2,[None],0.6931818181818182,8,448,0.318685471496892,0,1,0,1,0,0,0
2187,0,[None],0.6611570247933884,1,15,0.6566042448751288,0,1,0,0,1,1,1
2187,1,[None],0.4669421487603306,1,454,0.2595212016184169,1,1,1,0,1,1,1
2187,2,[None],0.5289256198347108,3,19,0.609954769645917,1,1,1,0,1,1,0
6561,0,[None],0.6353305785123967,3,163,0.729876572159726,1,0,0,1,1,1,1
6561,1,[None],0.7644628099173554,6,435,0.8038684048222153,1,0,0,0,0,0,0
6561,2,[None],0.4772727272727273,8,429,0.001,1,1,1,1,1,1,0
19683,0,[None],0.6611570247933884,2,401,0.07547609303609105,1,0,1,1,0,1,0
19683,1,[None],0.6167355371900827,2,464,0.8083122591848525,0,1,1,0,1,0,1
19683,2,[None],0.6219008264462811,1,114,0.42768068083763006,1,1,0,0,1,1,0
59049,0,[None],0.5599173553719008,5,144,0.001,1,1,0,0,0,1,0
59049,1,[None],0.7004132231404959,4,410,0.6949969117197965,1,1,1,1,1,1,1
59049,2,[None],0.5681818181818182,1,16,0.6589690951798564,1,0,0,0,0,0,1
