alpha,tol,solver,random_state,max_iter,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level
1.0,0.0001,auto,42,5000,1,0,1
1.0,0.0001,auto,42,5000,0,0,1
1.0,0.0001,auto,42,5000,0,1,1
1.0,0.0001,auto,42,5000,1,1,1
1.0,0.0001,auto,42,5000,1,1,0
1.0,0.0001,auto,42,5000,0,1,0
1.0,0.0001,auto,42,5000,1,0,0
0.0004,0.4,auto,42,5000,1,0,1
0.0004,0.4,auto,42,5000,0,0,1
0.0004,0.4,auto,42,5000,0,1,1
0.0004,0.4,auto,42,5000,1,1,1
0.0004,0.4,auto,42,5000,1,1,0
0.0004,0.4,auto,42,5000,0,1,0
0.0004,0.4,auto,42,5000,1,0,0
0.002,0.30000000000000004,auto,42,5000,1,0,1
0.002,0.30000000000000004,auto,42,5000,0,0,1
0.002,0.30000000000000004,auto,42,5000,0,1,1
0.002,0.30000000000000004,auto,42,5000,1,1,1
0.002,0.30000000000000004,auto,42,5000,1,1,0
0.002,0.30000000000000004,auto,42,5000,0,1,0
0.002,0.30000000000000004,auto,42,5000,1,0,0
0.00030000000000000003,0.4,auto,42,5000,1,0,1
0.00030000000000000003,0.4,auto,42,5000,0,0,1
0.00030000000000000003,0.4,auto,42,5000,0,1,1
0.00030000000000000003,0.4,auto,42,5000,1,1,1
0.00030000000000000003,0.4,auto,42,5000,1,1,0
0.00030000000000000003,0.4,auto,42,5000,0,1,0
0.00030000000000000003,0.4,auto,42,5000,1,0,0
0.03,0.0007,auto,42,5000,1,0,1
0.03,0.0007,auto,42,5000,0,0,1
0.03,0.0007,auto,42,5000,0,1,1
0.03,0.0007,auto,42,5000,1,1,1
0.03,0.0007,auto,42,5000,1,1,0
0.03,0.0007,auto,42,5000,0,1,0
0.03,0.0007,auto,42,5000,1,0,0
0.07,0.04,auto,42,5000,1,0,1
0.07,0.04,auto,42,5000,0,0,1
0.07,0.04,auto,42,5000,0,1,1
0.07,0.04,auto,42,5000,1,1,1
0.07,0.04,auto,42,5000,1,1,0
0.07,0.04,auto,42,5000,0,1,0
0.07,0.04,auto,42,5000,1,0,0
0.1,0.04,auto,42,5000,1,0,1
0.1,0.04,auto,42,5000,0,0,1
0.1,0.04,auto,42,5000,0,1,1
0.1,0.04,auto,42,5000,1,1,1
0.1,0.04,auto,42,5000,1,1,0
0.1,0.04,auto,42,5000,0,1,0
0.1,0.04,auto,42,5000,1,0,0
0.03,0.003,auto,42,5000,1,0,1
0.03,0.003,auto,42,5000,0,0,1
0.03,0.003,auto,42,5000,0,1,1
0.03,0.003,auto,42,5000,1,1,1
0.03,0.003,auto,42,5000,1,1,0
0.03,0.003,auto,42,5000,0,1,0
0.03,0.003,auto,42,5000,1,0,0
0.4,0.0002,auto,42,5000,1,0,1
0.4,0.0002,auto,42,5000,0,0,1
0.4,0.0002,auto,42,5000,0,1,1
0.4,0.0002,auto,42,5000,1,1,1
