random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__syllable_duration_kurtosis,rutina__speech_timing__syllable_duration_skewness,rutina__speech_timing__syllable_duration_max,rutina__speech_timing__syllable_duration_min,rutina__speech_timing__pause_duration_kurtosis,rutina__speech_timing__pause_duration_skewness,rutina__speech_timing__pause_duration_max,rutina__speech_timing__pause_duration_min,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],,3,433,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,1,439,0.5111547190548265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,3,149,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],,4,146,0.612241041827657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],,1,433,0.8844219050571881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
