random_seed,fold,threshold,r2,alpha,l1_ratio,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh,video_retelling__word_properties__mean_log_frq,video_retelling__word_properties__mean_num_phonemes,video_retelling__word_properties__mean_num_syll,video_retelling__word_properties__mean_phon_neigh
3,0,[None],-0.08294886114555777,3745.401194728224,0.9507143064099162,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.1295517867689724,0.6068778631113001,0.025648140518152614,0,1,1,1,0,1,1,0,0,0,0,0
3,2,[None],0.1382189230580526,0.6684835810079641,0.0,0,1,1,0,0,0,1,0,0,0,0,1
3,3,[None],0.12353733879332884,0.789331296256645,0.2371793937865002,0,1,1,0,0,0,0,1,1,0,0,1
3,4,[None],-0.05044157608695632,3745.401194728224,0.9507143064099162,1,1,1,1,1,1,1,1,1,1,1,1
