random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.8367768595041323,1,152,0.49522340895496314,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
3,1,[None],0.8388429752066116,4,136,0.8289087716427774,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0
3,2,[None],0.652892561983471,3,249,0.3015774315069529,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
9,0,[None],0.8398760330578512,7,11,0.9699399423098324,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1
9,1,[None],0.8543388429752067,1,16,0.6891042361189329,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0
9,2,[None],0.8068181818181818,8,86,0.001,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.8574380165289256,2,206,0.8482706936669591,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
27,1,[None],0.8677685950413223,6,435,0.8038684048222153,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0
27,2,[None],0.805785123966942,2,152,0.5252316752006057,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
81,0,[None],0.8636363636363636,1,433,0.6015138967314656,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1
81,1,[None],0.8409090909090909,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
81,2,[None],0.8615702479338844,1,328,0.9028091403563189,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
243,0,[None],0.7830578512396694,6,86,0.06598654139229423,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0
243,1,[None],0.8326446280991736,5,93,0.969615043136794,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
243,2,[None],0.7665289256198347,1,16,0.6446632510897944,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
729,0,[None],0.7954545454545454,4,136,0.8289087716427774,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1
729,1,[None],0.7045454545454546,4,410,0.6949969117197965,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
729,2,[None],0.6797520661157025,1,433,0.836294402462279,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.8388429752066116,3,163,0.729876572159726,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1
2187,1,[None],0.8140495867768596,7,230,0.7169001217353971,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1
2187,2,[None],0.7871900826446281,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
6561,0,[None],0.7086776859504132,2,446,0.5398028996737351,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6561,1,[None],0.7933884297520661,3,19,0.609954769645917,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.7644628099173555,7,469,0.8949325230772212,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1
19683,0,[None],0.8264462809917354,2,464,0.8083122591848525,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
19683,1,[None],0.8388429752066117,6,435,0.8038684048222153,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1
19683,2,[None],0.7045454545454545,4,410,0.6949969117197965,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0
59049,0,[None],0.8202479338842976,1,114,0.42768068083763006,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
59049,1,[None],0.8161157024793388,2,466,0.5390176858119471,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
59049,2,[None],0.9297520661157025,1,454,0.17467652021868424,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0
