random_seed,fold,threshold,r2,n_neighbors,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh
3,0,[None],-0.06716645242494845,18,1,1,1,1,1,1,1
3,1,[None],-0.03185119413519111,22,1,1,1,1,1,0,1
3,2,[None],-0.01911140979689363,20,1,1,1,0,1,1,1
3,3,[None],0.011397506234414045,25,1,1,1,1,1,1,1
3,4,[None],-0.027774050217689528,27,1,1,1,1,1,1,0
