task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.68507, (0.52118, 0.81747)","0.64318, (0.51150, 0.75862)","0.59640, (0.44068, 0.73836)","0.52727, (0.37215, 0.69130)","0.68639, (0.45574, 0.85119)","0.71364, (0.34562, 0.92222)","1.02173, (0.84358, 1.23440)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.48962, (0.37603, 0.59015)","0.50909, (0.41136, 0.59318)","0.51351, (0.37010, 0.62455)","0.51818, (0.38035, 0.65000)","0.50893, (0.32379, 0.66667)","0.98182, (0.77334, 1.15512)","2.91966, (2.35333, 3.51825)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.61947, (0.46004, 0.74135)","0.59091, (0.46818, 0.69596)","0.59091, (0.43530, 0.72485)","0.59091, (0.42133, 0.72904)","0.59091, (0.39554, 0.76906)","0.81818, (0.51076, 1.03158)","1.47383, (1.11882, 1.98042)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.58348, (0.42196, 0.71046)","0.59545, (0.47045, 0.69927)","0.59545, (0.43552, 0.72297)","0.59545, (0.44030, 0.75000)","0.59545, (0.40009, 0.76221)","0.80909, (0.48281, 0.99574)","1.59109, (1.15954, 2.13126)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.68188, (0.54320, 0.79886)","0.61818, (0.50227, 0.72273)","0.46835, (0.32421, 0.62287)","0.33636, (0.21532, 0.49014)","0.77083, (0.50908, 0.91077)","0.76364, (0.51555, 0.93000)","1.03016, (0.90878, 1.20293)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.66386, (0.54166, 0.76667)","0.63409, (0.52727, 0.72727)","0.62118, (0.49634, 0.73240)","0.60000, (0.46632, 0.72583)","0.64390, (0.45850, 0.80656)","0.73182, (0.44237, 0.89418)","2.04803, (1.43381, 2.70033)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.67576, (0.53422, 0.78793)","0.64091, (0.53182, 0.73182)","0.63594, (0.49836, 0.74579)","0.62727, (0.46738, 0.75769)","0.64486, (0.45808, 0.80670)","0.71818, (0.41717, 0.90000)","1.56764, (1.10202, 2.14706)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.67710, (0.51986, 0.80977)","0.64773, (0.53318, 0.74545)","0.65479, (0.50775, 0.77928)","0.66818, (0.48100, 0.81996)","0.64192, (0.46401, 0.79668)","0.70455, (0.39493, 0.87997)","1.22142, (0.85744, 1.75289)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.55431, (0.44792, 0.65843)","0.54091, (0.42955, 0.64318)","0.34839, (0.22546, 0.48159)","0.24545, (0.14751, 0.36125)","0.60000, (0.37500, 0.79262)","0.91818, (0.74126, 1.06500)","2.07263, (1.60646, 2.66976)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.48401, (0.37938, 0.60353)","0.47955, (0.39134, 0.56818)","0.44819, (0.33063, 0.58433)","0.42273, (0.31429, 0.55974)","0.47692, (0.30788, 0.66413)","1.04091, (0.76676, 1.17500)","2.77269, (2.21165, 3.33438)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.46502, (0.36335, 0.59028)","0.48182, (0.39545, 0.57640)","0.45714, (0.34139, 0.59202)","0.43636, (0.32632, 0.56842)","0.48000, (0.31059, 0.66136)","1.03636, (0.77797, 1.17000)","2.26580, (1.75427, 2.73838)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.49439, (0.36610, 0.62834)","0.51818, (0.41591, 0.62045)","0.49038, (0.35679, 0.62525)","0.46364, (0.32750, 0.61148)","0.52041, (0.34327, 0.70292)","0.96364, (0.71512, 1.15604)","1.62830, (1.25457, 1.98571)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.49796, (0.38405, 0.62152)","0.50455, (0.40452, 0.60227)","0.39106, (0.25196, 0.53559)","0.31818, (0.18873, 0.45950)","0.50725, (0.29429, 0.71318)","0.99091, (0.70807, 1.14286)","1.45838, (1.19158, 1.77342)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.46060, (0.37645, 0.55282)","0.45682, (0.38827, 0.54091)","0.44028, (0.33830, 0.54999)","0.42727, (0.32941, 0.53333)","0.45411, (0.30434, 0.62628)","1.08636, (0.85518, 1.20000)","3.41714, (2.80552, 3.89650)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.48456, (0.36576, 0.61715)","0.47273, (0.38182, 0.57045)","0.46544, (0.33858, 0.59562)","0.45909, (0.33186, 0.59621)","0.47196, (0.29546, 0.63538)","1.05455, (0.76940, 1.23158)","2.53081, (1.90372, 3.08004)"
