task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,0,,early_fusion,"0.68562, (0.52625, 0.82347)","0.66591, (0.53429, 0.77045)","0.65734, (0.50542, 0.78348)","0.64091, (0.45559, 0.80815)","0.67464, (0.48009, 0.82318)","0.66818, (0.37731, 0.89444)","1.29132, (0.84106, 1.81947)","0.62500, (0.25000, 0.92593)","0.66667, (0.40000, 0.86667)","0.66667, (0.33333, 0.90610)","0.62500, (0.25000, 0.88889)","0.71429, (0.33333, 1.00000)","0.71429, (0.14286, 1.50000)","1.80437, (0.55743, 3.43647)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,0,,early_fusion,"0.65127, (0.48790, 0.79300)","0.62045, (0.49545, 0.73864)","0.61432, (0.45765, 0.75494)","0.60455, (0.42951, 0.76249)","0.62441, (0.41301, 0.80000)","0.75909, (0.47000, 0.97383)","1.07733, (0.83149, 1.37910)","0.85714, (0.59004, 0.97548)","0.73333, (0.46667, 0.93333)","0.75000, (0.40000, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.33333, 1.00000)","0.57143, (0.14286, 1.25000)","0.68096, (0.47112, 0.97548)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,0,,early_fusion,"0.63473, (0.47616, 0.77565)","0.62955, (0.51364, 0.73636)","0.62005, (0.46385, 0.75252)","0.60455, (0.41921, 0.76087)","0.63636, (0.44040, 0.81439)","0.74091, (0.43737, 0.95789)","1.37891, (0.93328, 1.91199)","0.66071, (0.28973, 0.90741)","0.60000, (0.33333, 0.80000)","0.66667, (0.37500, 0.87500)","0.75000, (0.35695, 1.00000)","0.60000, (0.30000, 0.88889)","0.85714, (0.19820, 1.50000)","1.84908, (0.75180, 3.19796)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,0,,early_fusion,"0.59997, (0.44324, 0.73915)","0.57045, (0.45227, 0.67045)","0.57143, (0.42216, 0.70175)","0.57273, (0.41447, 0.71061)","0.57014, (0.38967, 0.75000)","0.85909, (0.57434, 1.02165)","1.28986, (0.93356, 1.75076)","0.82143, (0.48000, 0.98214)","0.66667, (0.40000, 0.86667)","0.70588, (0.40000, 0.90909)","0.75000, (0.28571, 1.00000)","0.66667, (0.33333, 1.00000)","0.71429, (0.00095, 1.33333)","0.75449, (0.40892, 1.17170)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,0,,early_fusion,"0.51481, (0.37071, 0.66553)","0.50909, (0.39998, 0.61826)","0.47573, (0.34029, 0.62337)","0.44545, (0.30495, 0.59511)","0.51042, (0.32343, 0.70661)","0.98182, (0.71818, 1.19048)","1.67982, (1.24362, 2.07862)","0.62500, (0.27781, 0.87979)","0.60000, (0.33333, 0.80000)","0.57143, (0.22222, 0.82353)","0.50000, (0.14286, 0.83333)","0.66667, (0.06578, 1.00000)","0.85714, (0.28571, 1.75000)","1.27245, (0.69762, 2.20216)"
