task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,1584,,early_fusion,"0.78160, (0.62395, 0.89556)","0.71818, (0.58182, 0.82055)","0.71296, (0.56727, 0.83601)","0.70000, (0.50740, 0.85714)","0.72642, (0.51743, 0.87175)","0.56364, (0.25881, 0.82574)","0.84819, (0.73824, 0.97322)","0.90179, (0.62652, 1.00000)","0.86667, (0.60000, 1.00000)","0.87500, (0.57143, 1.00000)","0.87500, (0.40697, 1.00000)","0.87500, (0.39795, 1.00000)","0.28571, (0.00000, 1.00000)","0.72469, (0.54534, 0.94970)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,1741,,early_fusion,"0.77731, (0.63567, 0.88537)","0.72045, (0.59773, 0.81886)","0.71462, (0.57611, 0.82996)","0.70000, (0.51429, 0.85249)","0.72986, (0.54105, 0.86569)","0.55909, (0.30694, 0.80000)","1.07244, (0.64892, 1.59803)","0.57143, (0.20267, 0.90741)","0.66667, (0.40000, 0.86667)","0.66667, (0.33333, 0.90610)","0.62500, (0.25000, 0.88889)","0.71429, (0.33333, 1.00000)","0.71429, (0.14286, 1.50000)","2.07176, (0.70214, 3.63084)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,872,,early_fusion,"0.75150, (0.61144, 0.85837)","0.59773, (0.46818, 0.71784)","0.35165, (0.20603, 0.50446)","0.21818, (0.11666, 0.35000)","0.90566, (0.59712, 1.00000)","0.80455, (0.62091, 1.03889)","0.95392, (0.91228, 1.03279)","0.88393, (0.61607, 1.00000)","0.73333, (0.46667, 0.93333)","0.66667, (0.25000, 0.90909)","0.50000, (0.14286, 0.83333)","1.00000, (nan, nan)","0.57143, (0.14286, 1.60000)","0.90329, (0.80680, 1.19112)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,57,,early_fusion,"0.67045, (0.55828, 0.76326)","0.67045, (0.54510, 0.76121)","0.60705, (0.44189, 0.74251)","0.50909, (0.33131, 0.65397)","0.75168, (0.49774, 0.91282)","0.65909, (0.42343, 0.89412)","2.19917, (1.55983, 3.08680)","0.40179, (0.14286, 0.68164)","0.40000, (0.13333, 0.66667)","0.40000, (0.13333, 0.71124)","0.37500, (0.00000, 0.75000)","0.42857, (0.11111, 0.83333)","1.28571, (0.57143, 1.83333)","4.00496, (1.78806, 5.77848)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,1088,,early_fusion,"0.69115, (0.55416, 0.81475)","0.63864, (0.53182, 0.73636)","0.57143, (0.43120, 0.70598)","0.48182, (0.33525, 0.62706)","0.70199, (0.48276, 0.87761)","0.72273, (0.47607, 0.89474)","0.95274, (0.90375, 0.99472)","0.66964, (0.31449, 0.91991)","0.66667, (0.40000, 0.86667)","0.70588, (0.40000, 0.90909)","0.75000, (0.33333, 1.00000)","0.66667, (0.28571, 0.91219)","0.71429, (0.14286, 1.40000)","0.96138, (0.85022, 1.07798)"
