task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.68507, (0.52118, 0.81747)","0.64318, (0.51150, 0.75862)","0.59640, (0.44068, 0.73836)","0.52727, (0.37215, 0.69130)","0.68639, (0.45574, 0.85119)","0.71364, (0.34562, 0.92222)","1.02173, (0.84358, 1.23440)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.48962, (0.37603, 0.59015)","0.50909, (0.41136, 0.59318)","0.51351, (0.37010, 0.62455)","0.51818, (0.38035, 0.65000)","0.50893, (0.32379, 0.66667)","0.98182, (0.77334, 1.15512)","2.91966, (2.35333, 3.51825)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.61947, (0.46004, 0.74135)","0.59091, (0.46818, 0.69596)","0.59091, (0.43530, 0.72485)","0.59091, (0.42133, 0.72904)","0.59091, (0.39554, 0.76906)","0.81818, (0.51076, 1.03158)","1.47383, (1.11882, 1.98042)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.58348, (0.42196, 0.71046)","0.59545, (0.47045, 0.69927)","0.59545, (0.43552, 0.72297)","0.59545, (0.44030, 0.75000)","0.59545, (0.40009, 0.76221)","0.80909, (0.48281, 0.99574)","1.59109, (1.15954, 2.13126)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.55431, (0.44792, 0.65843)","0.54091, (0.42955, 0.64318)","0.34839, (0.22546, 0.48159)","0.24545, (0.14751, 0.36125)","0.60000, (0.37500, 0.79262)","0.91818, (0.74126, 1.06500)","2.07263, (1.60646, 2.66976)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.48401, (0.37938, 0.60353)","0.47955, (0.39134, 0.56818)","0.44819, (0.33063, 0.58433)","0.42273, (0.31429, 0.55974)","0.47692, (0.30788, 0.66413)","1.04091, (0.76676, 1.17500)","2.77269, (2.21165, 3.33438)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.46469, (0.36609, 0.59216)","0.47273, (0.39091, 0.56591)","0.44762, (0.33429, 0.58075)","0.42727, (0.32077, 0.55697)","0.47000, (0.30407, 0.65687)","1.05455, (0.81523, 1.18421)","2.26220, (1.75071, 2.74323)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.49439, (0.36610, 0.62834)","0.51818, (0.41591, 0.62045)","0.49038, (0.35679, 0.62525)","0.46364, (0.32750, 0.61148)","0.52041, (0.34327, 0.70292)","0.96364, (0.71512, 1.15604)","1.62830, (1.25457, 1.98571)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.57518, (0.44882, 0.69187)","0.54091, (0.42228, 0.64545)","0.36076, (0.21594, 0.51397)","0.25909, (0.14285, 0.39948)","0.59375, (0.33333, 0.80753)","0.91818, (0.67824, 1.05658)","1.48627, (1.19624, 1.84967)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.51280, (0.40449, 0.63134)","0.50682, (0.42727, 0.60885)","0.48941, (0.35889, 0.61513)","0.47273, (0.33889, 0.60809)","0.50732, (0.33537, 0.68834)","0.98636, (0.71213, 1.10952)","2.65852, (1.98905, 3.20752)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.56150, (0.43652, 0.69009)","0.56364, (0.47045, 0.67727)","0.54286, (0.39895, 0.68369)","0.51818, (0.37050, 0.67500)","0.57000, (0.38096, 0.75465)","0.87273, (0.59005, 1.05606)","1.92726, (1.39266, 2.47984)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.59661, (0.44374, 0.73200)","0.60455, (0.49091, 0.70682)","0.59908, (0.45294, 0.72901)","0.59091, (0.42448, 0.74348)","0.60748, (0.41182, 0.78194)","0.79091, (0.49768, 0.99500)","1.54096, (1.07720, 2.05300)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.54036, (0.42587, 0.66225)","0.53864, (0.43636, 0.65227)","0.44986, (0.30057, 0.60010)","0.37727, (0.23941, 0.54089)","0.55705, (0.35195, 0.73742)","0.92273, (0.69018, 1.07002)","1.25050, (1.07712, 1.49159)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.51934, (0.40847, 0.62493)","0.53864, (0.44545, 0.62210)","0.52459, (0.40308, 0.63930)","0.50909, (0.36957, 0.62868)","0.54106, (0.36379, 0.70284)","0.92273, (0.71837, 1.08947)","2.63908, (2.07409, 3.27058)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.59118, (0.45066, 0.72771)","0.57955, (0.47273, 0.68003)","0.57471, (0.42995, 0.71068)","0.56818, (0.39339, 0.72496)","0.58140, (0.40347, 0.75266)","0.84091, (0.61085, 1.02632)","1.69901, (1.24094, 2.29804)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.68542, (0.53254, 0.80622)","0.65000, (0.52592, 0.75682)","0.64186, (0.49648, 0.76918)","0.62727, (0.45636, 0.79113)","0.65714, (0.46320, 0.80799)","0.70000, (0.41899, 0.91975)","1.24149, (0.85849, 1.71581)"
