task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,43,,early_fusion,"0.76605, (0.59513, 0.87543)","0.68864, (0.55009, 0.80000)","0.68793, (0.51438, 0.81949)","0.68636, (0.47765, 0.84521)","0.68950, (0.46731, 0.84211)","0.62273, (0.27277, 0.87876)","0.84886, (0.63389, 1.12315)","0.82143, (0.50000, 1.00000)","0.73333, (0.46667, 0.93333)","0.75000, (0.40404, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.37500, 1.00000)","0.57143, (0.00000, 1.20000)","0.74306, (0.43494, 1.07528)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,21,,early_fusion,"0.77481, (0.62213, 0.88207)","0.70682, (0.58182, 0.80909)","0.70070, (0.55541, 0.82222)","0.68636, (0.49566, 0.85158)","0.71564, (0.52337, 0.85433)","0.58636, (0.33773, 0.83863)","1.05311, (0.64530, 1.56599)","0.62500, (0.26786, 0.90741)","0.60000, (0.33333, 0.80000)","0.57143, (0.22222, 0.85714)","0.50000, (0.14286, 0.85714)","0.66667, (0.20000, 1.00000)","0.85714, (0.28571, 1.66667)","1.71839, (0.72925, 3.22852)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,2,,early_fusion,"0.73367, (0.59368, 0.84553)","0.61818, (0.49279, 0.72500)","0.51163, (0.34823, 0.65973)","0.40000, (0.25135, 0.56474)","0.70968, (0.44872, 0.89656)","0.76364, (0.50056, 0.96922)","1.02244, (0.78427, 1.34416)","0.46429, (0.18750, 0.77103)","0.53333, (0.26667, 0.80000)","0.46154, (0.16667, 0.80000)","0.37500, (0.10522, 0.78167)","0.60000, (0.00000, 1.00000)","1.00000, (0.28571, 1.80000)","1.44738, (0.91856, 3.24023)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,31,,early_fusion,"0.61826, (0.48938, 0.74292)","0.56591, (0.43409, 0.67955)","0.35690, (0.20484, 0.52642)","0.24091, (0.12991, 0.40000)","0.68831, (0.35000, 0.89559)","0.86818, (0.66208, 1.06499)","1.20966, (0.98380, 1.73571)","0.67857, (0.35993, 0.88889)","0.60000, (0.33333, 0.80000)","0.57143, (0.21871, 0.82353)","0.50000, (0.14286, 0.83333)","0.66667, (0.16667, 1.00000)","0.85714, (0.28571, 1.75000)","1.03393, (0.63247, 1.64500)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,33,,early_fusion,"0.67682, (0.51301, 0.81021)","0.63182, (0.49346, 0.74773)","0.60870, (0.44466, 0.74845)","0.57273, (0.39444, 0.74500)","0.64948, (0.42771, 0.82134)","0.73636, (0.44589, 1.00000)","0.97022, (0.76963, 1.21719)","0.82143, (0.47507, 1.00000)","0.73333, (0.46667, 0.93333)","0.75000, (0.40000, 0.94737)","0.75000, (0.28571, 1.00000)","0.75000, (0.35866, 1.00000)","0.57143, (0.00000, 1.20000)","0.75418, (0.52529, 1.10739)"
