task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,921,,early_fusion,"0.75103, (0.57788, 0.87886)","0.68864, (0.55000, 0.80000)","0.68213, (0.51956, 0.81271)","0.66818, (0.48092, 0.84123)","0.69668, (0.47838, 0.86351)","0.62273, (0.26642, 0.88462)","0.90716, (0.82519, 0.97199)","0.87500, (0.52483, 1.00000)","0.86667, (0.60000, 1.00000)","0.85714, (0.50000, 1.00000)","0.75000, (0.33333, 1.00000)","1.00000, (nan, nan)","0.28571, (0.00000, 1.20000)","0.88488, (0.77658, 1.06205)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,1052,,early_fusion,"0.78750, (0.63589, 0.88444)","0.71591, (0.60000, 0.81818)","0.71132, (0.56788, 0.82095)","0.70000, (0.52479, 0.85000)","0.72300, (0.53374, 0.85395)","0.56818, (0.34750, 0.79356)","1.00624, (0.66171, 1.52465)","0.62500, (0.22604, 0.93056)","0.73333, (0.46667, 0.93333)","0.75000, (0.44444, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.37149, 1.00000)","0.57143, (0.00000, 1.20000)","1.64181, (0.48905, 3.29611)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,980,,early_fusion,"0.75789, (0.58882, 0.87359)","0.70000, (0.56364, 0.80000)","0.67647, (0.50366, 0.80328)","0.62727, (0.42446, 0.79138)","0.73404, (0.50927, 0.88963)","0.60000, (0.30920, 0.84286)","0.94230, (0.89585, 0.97884)","0.69643, (0.35192, 0.92593)","0.66667, (0.40000, 0.86667)","0.66667, (0.32216, 0.88889)","0.62500, (0.25000, 0.90000)","0.71429, (0.25000, 1.00000)","0.71429, (0.16667, 1.50000)","0.97265, (0.90076, 1.04797)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,2461,,early_fusion,"0.70592, (0.54994, 0.83145)","0.62500, (0.49285, 0.73864)","0.59459, (0.44077, 0.74716)","0.55000, (0.37657, 0.72953)","0.64706, (0.41406, 0.81415)","0.75000, (0.43136, 1.01859)","0.92034, (0.72351, 1.11780)","0.71429, (0.30305, 0.92593)","0.66667, (0.40000, 0.86667)","0.61538, (0.25000, 0.85714)","0.50000, (0.14286, 0.83333)","0.80000, (0.00000, 1.00000)","0.71429, (0.21735, 1.55639)","0.96626, (0.68329, 1.43627)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,1597,,early_fusion,"0.67433, (0.49735, 0.80631)","0.65000, (0.53150, 0.75227)","0.63333, (0.46827, 0.75900)","0.60455, (0.41882, 0.74759)","0.66500, (0.46436, 0.82726)","0.70000, (0.43454, 0.92206)","1.00884, (0.79343, 1.32482)","0.83929, (0.41035, 1.00000)","0.86667, (0.60000, 1.00000)","0.88889, (0.62500, 1.00000)","1.00000, (nan, nan)","0.80000, (0.45455, 1.00000)","0.28571, (0.00000, 0.83333)","0.71842, (0.45018, 1.21650)"
