task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy,roc_auc_extremo
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.68507, (0.52118, 0.81747)","0.64318, (0.51150, 0.75862)","0.59640, (0.44068, 0.73836)","0.52727, (0.37215, 0.69130)","0.68639, (0.45574, 0.85119)","0.71364, (0.34562, 0.92222)","1.02173, (0.84358, 1.23440)",0.52118
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.55431, (0.44792, 0.65843)","0.54091, (0.42955, 0.64318)","0.34839, (0.22546, 0.48159)","0.24545, (0.14751, 0.36125)","0.60000, (0.37500, 0.79262)","0.91818, (0.74126, 1.06500)","2.07263, (1.60646, 2.66976)",0.44792
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.57518, (0.44882, 0.69187)","0.54091, (0.42228, 0.64545)","0.36076, (0.21594, 0.51397)","0.25909, (0.14285, 0.39948)","0.59375, (0.33333, 0.80753)","0.91818, (0.67824, 1.05658)","1.48627, (1.19624, 1.84967)",0.44882
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.68542, (0.53254, 0.80622)","0.65000, (0.52592, 0.75682)","0.64186, (0.49648, 0.76918)","0.62727, (0.45636, 0.79113)","0.65714, (0.46320, 0.80799)","0.70000, (0.41899, 0.91975)","1.24149, (0.85849, 1.71581)",0.53254
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.56312, (0.44713, 0.67765)","0.55682, (0.46136, 0.64545)","0.55982, (0.42674, 0.67871)","0.56364, (0.42500, 0.69444)","0.55605, (0.37905, 0.71425)","0.88636, (0.63190, 1.05556)","2.52699, (1.84347, 3.11366)",0.44713
