random_seed,fold,threshold,r2,alpha,agradable__sentiment__NEG,agradable__sentiment__NEU,agradable__sentiment__POS,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__syllable_duration_kurtosis,agradable__speech_timing__syllable_duration_skewness,agradable__speech_timing__syllable_duration_max,agradable__speech_timing__syllable_duration_min,agradable__speech_timing__pause_duration_kurtosis,agradable__speech_timing__pause_duration_skewness,agradable__speech_timing__pause_duration_max,agradable__speech_timing__pause_duration_min,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std
3,0,[None],0.04966020758078493,351.3445938788486,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
3,1,[None],0.020170140186864582,205.84495275217952,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
3,2,[None],-0.02968848325714535,205.84495275217952,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1
3,3,[None],0.14963571571318823,205.84495275217952,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1
3,4,[None],0.08367198787142449,205.84495275217952,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
