random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.875,7,11,0.9699399423098324,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1
3,1,[None],0.7272727272727273,9,482,0.7615920193639307,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.7489669421487604,9,482,0.8085889507683447,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
9,0,[None],0.9028925619834711,2,464,0.7845921133401207,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1
9,1,[None],0.8966942148760331,1,18,0.7018760277925837,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1
9,2,[None],0.8192148760330578,7,304,0.001,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
27,0,[None],0.8925619834710743,3,205,0.5736801655525527,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0
27,1,[None],0.8181818181818182,3,19,0.609954769645917,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
27,2,[None],0.8336776859504132,3,256,0.8589810791950291,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
81,0,[None],0.9442148760330579,5,209,0.22288570266025953,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
81,1,[None],0.8409090909090909,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
81,2,[None],0.8088842975206612,4,485,0.9613535840204145,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
243,0,[None],0.7603305785123967,3,39,0.34603043045160403,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
243,1,[None],0.8636363636363636,7,469,0.8949325230772212,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
243,2,[None],0.6508264462809917,7,11,0.9641149486902699,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
729,0,[None],0.75,4,136,0.8289087716427774,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.7541322314049587,7,230,0.7169001217353971,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
729,2,[None],0.7520661157024793,1,406,0.8981842965755055,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2187,0,[None],0.7954545454545454,4,485,0.9624848476471691,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
2187,1,[None],0.8698347107438016,1,328,0.9028091403563189,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1
2187,2,[None],0.8305785123966942,1,16,0.3415302248607893,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0
6561,0,[None],0.78099173553719,2,151,0.49439212833425,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
6561,1,[None],0.7789256198347108,2,169,0.9429667942086066,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
6561,2,[None],0.7809917355371901,3,49,0.7111279863955683,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.8409090909090909,4,385,0.5357131326762476,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
19683,1,[None],0.8285123966942148,3,205,0.7557955874045056,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
19683,2,[None],0.6508264462809917,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
59049,0,[None],0.8966942148760331,1,114,0.42768068083763006,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0
59049,1,[None],0.8987603305785125,2,146,0.37308601646821327,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1
59049,2,[None],0.8305785123966942,5,209,0.1593522774395605,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
