random_seed,fold,threshold,r2,alpha,agradable__sentiment__NEG,agradable__sentiment__NEU,agradable__sentiment__POS
3,0,[None],,9997.8937298705,1,1,1
3,1,[None],,9999.396960457789,1,1,1
3,2,[None],,9997.89371812806,1,1,1
3,3,[None],,9999.721473680102,1,1,1
3,4,[None],,9999.396960457789,1,1,1
