feature,importance
agradable__pitch__pitch_std,1.0
agradable__pitch__pitch_skewness,1.0
agradable__pitch__pitch_kurtosis,1.0
agradable__pitch__pitch_max,1.0
agradable__pitch__pitch_min,1.0
agradable__pitch__jitter_skewness,1.0
agradable__pitch__jitter_max,1.0
agradable__pitch__jitter_min,1.0
agradable__pitch__shimmer_skewness,1.0
agradable__pitch__shimmer_kurtosis,1.0
agradable__pitch__shimmer_max,1.0
agradable__pitch__shimmer_min,1.0
agradable__pitch__hnr_skewness,1.0
agradable__pitch__hnr_kurtosis,1.0
agradable__pitch__hnr_max,1.0
agradable__pitch__hnr_min,1.0
agradable__pitch__query_duration,1.0
agradable__pitch__pitch_mean,1.0
agradable__pitch__jitter_mean,1.0
agradable__pitch__jitter_std,1.0
agradable__pitch__shimmer_mean,1.0
agradable__pitch__shimmer_std,1.0
agradable__pitch__hnr_mean,1.0
agradable__pitch__hnr_std,1.0
