random_seed,fold,threshold,r2,n_neighbors,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__syllable_duration_kurtosis,agradable__speech_timing__syllable_duration_skewness,agradable__speech_timing__syllable_duration_max,agradable__speech_timing__syllable_duration_min,agradable__speech_timing__pause_duration_kurtosis,agradable__speech_timing__pause_duration_skewness,agradable__speech_timing__pause_duration_max,agradable__speech_timing__pause_duration_min,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std
3,0,[None],0.05343066180024325,6,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
3,1,[None],-0.10226502918361291,26,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],-0.08146097175928646,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],0.00010647351909687242,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],-0.008383248081088812,27,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
