feature,importance
Animales__timing__speechrate,0.22239098
Animales__timing__pause_duration_mean,0.1108345
Animales__properties__log_frq_promedio,0.09448649
P__properties__concreteness_imputada_std,0.07429806
Animales__properties__granularidad_std,0.061983448
Animales__properties__sa_NP__std,0.051264968
P__timing__syllable_duration_std,0.046502974
P__timing__pause_duration_mean,0.044314105
Animales__properties__concreteness_imputada_std,0.04134589
Animales__properties__log_frq_std,0.03620089
P__timing__nsyll,0.0350125
Animales__timing__pause_duration_std,0.031712472
P__properties__log_frq_promedio,0.029164676
P__properties__sa_num_phon_promedio,0.02765674
Animales__properties__sa_NP__promedio,0.02477934
Animales__timing__syllable_duration_mean,0.021647895
P__properties__sa_NP__std,0.0149981445
Animales__timing__syllable_duration_std,0.010033915
Animales__properties__sa_num_phon_promedio,0.008059716
P__timing__syllable_duration_mean,0.0051909857
P__properties__granularidad_promedio,0.0045161783
Animales__properties__osv,0.0036050896
Animales__properties__sa_num_phon_std,0.0
Animales__properties__sa_num_syll_std,0.0
Animales__properties__sa_num_syll_promedio,0.0
Animales__properties__granularidad_promedio,0.0
P__properties__sa_NP__promedio,0.0
P__properties__concreteness_imputada_promedio,0.0
P__properties__log_frq_std,0.0
P__properties__sa_num_phon_std,0.0
P__properties__sa_num_syll_promedio,0.0
P__properties__sa_num_syll_std,0.0
Animales__properties__concreteness_imputada_promedio,0.0
P__properties__osv,0.0
Animales__timing__npauses,0.0
P__timing__npauses,0.0
Animales__timing__nsyll,0.0
P__properties__granularidad_std,0.0
P__timing__speechrate,0.0
P__timing__pause_duration_std,0.0
