random_seed,fold,threshold,roc_auc,C,brain__norm_brain_lit__lIFGoperc,brain__norm_brain_lit__rIFGoperc,brain__norm_brain_lit__lIFGtriang,brain__norm_brain_lit__rIFGtriang,brain__norm_brain_lit__lROL,brain__norm_brain_lit__rROL,brain__norm_brain_lit__lPFCventmed,brain__norm_brain_lit__rPFCventmed,brain__norm_brain_lit__lREC,brain__norm_brain_lit__rREC,brain__norm_brain_lit__lINS,brain__norm_brain_lit__rINS,brain__norm_brain_lit__lMCC,brain__norm_brain_lit__rMCC,brain__norm_brain_lit__lPCC,brain__norm_brain_lit__rPCC,brain__norm_brain_lit__lHIP,brain__norm_brain_lit__rHIP,brain__norm_brain_lit__lPHG,brain__norm_brain_lit__rPHG,brain__norm_brain_lit__lPCUN,brain__norm_brain_lit__rPCUN,brain__norm_brain_lit__lSTG,brain__norm_brain_lit__rSTG,brain__norm_brain_lit__lTPOsup,brain__norm_brain_lit__rTPOsup,brain__norm_brain_lit__lMTG,brain__norm_brain_lit__rMTG,brain__norm_brain_lit__lTPOmid,brain__norm_brain_lit__rTPOmid,brain__norm_brain_lit__lITG,brain__norm_brain_lit__rITG
243,1,[None],0.9431818181818182,95.07143556956098,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.9297520661157026,0.410015742801205,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0
729,0,[None],0.9297520661157025,15.601948442379607,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
729,1,[None],0.9648760330578513,3.4389486726697283,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.9152892561983471,0.0001,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.9338842975206612,5.222284329910862,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0
2187,1,[None],0.8987603305785123,0.0001,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.9772727272727273,6.901785888724564,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
6561,0,[None],0.9896694214876034,5.8084554084587285,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
6561,1,[None],0.9070247933884298,0.1626751009505582,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.9235537190082644,0.0001,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.9380165289256198,0.0001,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
19683,1,[None],1.0,5.8084554084587285,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
19683,2,[None],0.9710743801652892,2.735748255691476,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0
59049,0,[None],0.9421487603305785,0.9241074226472392,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.9896694214876033,12.203911280654397,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
59049,2,[None],0.9648760330578513,2.9180829304491596,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
