random_seed,fold,threshold,roc_auc,n_neighbors,brain__norm_brain_lit__lIFGoperc,brain__norm_brain_lit__rIFGoperc,brain__norm_brain_lit__lIFGtriang,brain__norm_brain_lit__rIFGtriang,brain__norm_brain_lit__lROL,brain__norm_brain_lit__rROL,brain__norm_brain_lit__lPFCventmed,brain__norm_brain_lit__rPFCventmed,brain__norm_brain_lit__lREC,brain__norm_brain_lit__rREC,brain__norm_brain_lit__lINS,brain__norm_brain_lit__rINS,brain__norm_brain_lit__lMCC,brain__norm_brain_lit__rMCC,brain__norm_brain_lit__lPCC,brain__norm_brain_lit__rPCC,brain__norm_brain_lit__lHIP,brain__norm_brain_lit__rHIP,brain__norm_brain_lit__lPHG,brain__norm_brain_lit__rPHG,brain__norm_brain_lit__lPCUN,brain__norm_brain_lit__rPCUN,brain__norm_brain_lit__lSTG,brain__norm_brain_lit__rSTG,brain__norm_brain_lit__lTPOsup,brain__norm_brain_lit__rTPOsup,brain__norm_brain_lit__lMTG,brain__norm_brain_lit__rMTG,brain__norm_brain_lit__lTPOmid,brain__norm_brain_lit__rTPOmid,brain__norm_brain_lit__lITG,brain__norm_brain_lit__rITG
3,0,[None],0.9545454545454545,26,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3,1,[None],0.9452479338842975,29,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.8956611570247934,13,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,0,[None],0.9628099173553719,27,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.8873966942148761,13,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
9,2,[None],0.9142561983471075,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.8698347107438016,12,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.9307851239669421,13,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.984504132231405,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
81,0,[None],0.9008264462809918,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.975206611570248,4,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
