random_seed,fold,threshold,roc_auc,C,gamma,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
3,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
3,2,[None],0.5867768595041323,11.390082961754768,36.02862050686186,1,1,1,1,1,1,0
9,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,2,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
27,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,2,[None],0.7933884297520661,18.058699989463506,0.29359967629087586,0,0,1,0,1,0,1
81,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,1,[None],0.5,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1
81,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,0,[None],0.5444214876033058,7.541742613159929,26.086410058151,1,1,1,1,1,1,1
243,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,2,[None],0.7210743801652892,18.058699989463506,0.29359967629087586,1,0,1,1,0,1,1
729,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
729,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
729,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
2187,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
2187,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
2187,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,0,[None],0.8099173553719008,18.058699989463506,0.29359967629087586,0,1,1,1,1,1,1
6561,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
