random_seed,fold,threshold,roc_auc,C,gamma,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
729,1,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
729,3,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
729,4,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
729,5,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
729,6,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,28.093522875287107,5426.960877312877,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,3,[None],,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,4,[None],,28.093522875287107,5426.960877312877,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,5,[None],,11.959512634405575,7132.447900905472,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,6,[None],,39.75666112231683,0.055466756826270114,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,0.7358172273528658,8154.613364861638,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,3,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,4,[None],,74.91461624780466,9564.469115609645,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,5,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,6,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,12.203911280654397,4951.769151595011,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,12.203911280654397,4951.769151595011,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,3,[None],,30.46144645596015,976.7212302966274,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,4,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,5,[None],,31.171176437833484,5200.680259771307,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,6,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
