random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
6561,0,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,36,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,3,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,4,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,5,[None],,35,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,6,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,7,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,8,[None],,35,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,9,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,16,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,16,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,31,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,3,[None],,40,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,4,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,5,[None],,42,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,6,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,7,[None],,20,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,8,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,9,[None],,43,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,36,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,41,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,3,[None],,39,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,4,[None],,40,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,5,[None],,40,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,6,[None],,37,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,7,[None],,19,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,8,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,9,[None],,38,1,1,1,1,1,1,1,1,1,1,1,1,1
