random_seed,fold,threshold,r2,alpha,agradable__word_properties__word_properties_std_concr,agradable__word_properties__word_properties_kurt_concr,agradable__word_properties__word_properties_skew_concr,agradable__word_properties__word_properties_mean_concr,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],-0.01098135500894637,9999.721473680102,0,0,1,1,0,1,0,0
3,1,[None],-0.025920934068064172,9999.396960457789,1,1,0,0,0,1,0,1
3,2,[None],0.06587986198323559,16.8877798748908,1,1,0,0,1,1,0,0
3,3,[None],-0.01975948380842163,1834.045106700293,1,1,1,1,0,0,0,0
3,4,[None],-0.024876522454439387,537.1068868475852,1,0,0,0,0,1,1,1
