random_seed,fold,threshold,roc_auc,C,gamma,Animales__vr__count
3,0,[None],0.7592975206611571,8.229158278011823,37.20060140482564,1
3,1,[None],0.6136363636363636,8.229158278011823,37.20060140482564,1
3,2,[None],0.7995867768595041,8.229158278011823,37.20060140482564,1
9,0,[None],0.6880165289256198,53.262711178111616,120.05122090703166,1
9,1,[None],0.6590909090909091,8.229158278011823,37.20060140482564,1
9,2,[None],0.7066115702479339,8.229158278011823,37.20060140482564,1
27,0,[None],0.7024793388429753,35.84663700785441,1158.6906836643911,1
27,1,[None],0.6818181818181819,0.5523111601485275,8154.614303002199,1
27,2,[None],0.6663223140495868,4.522824368324915,3253.3033750996105,1
81,0,[None],0.737603305785124,8.229158278011823,37.20060140482564,1
81,1,[None],0.5981404958677685,8.229158278011823,37.20060140482564,1
81,2,[None],0.8223140495867768,0.5523111601485275,8154.614303002199,1
243,0,[None],0.6694214876033058,93.94990020652476,8948.273514793753,1
243,1,[None],0.7706611570247933,8.229158278011823,37.20060140482564,1
243,2,[None],0.7551652892561983,0.5523111601485275,8154.614303002199,1
729,0,[None],0.7985537190082646,88.7212855363584,4722.149304398001,1
729,1,[None],0.6942148760330579,54.67107326330003,1848.544636769825,1
729,2,[None],0.49690082644628103,51.73442796876902,118.11198781231008,1
2187,0,[None],0.6973140495867769,29.21453563905696,3663.618496300733,1
2187,1,[None],0.7789256198347108,8.229158278011823,37.20060140482564,1
2187,2,[None],0.7324380165289256,9.32689018045163,9020.741744657053,1
6561,0,[None],0.7355371900826446,8.229158278011823,37.20060140482564,1
6561,1,[None],0.7479338842975207,38.867790101219235,2713.4903906040563,1
6561,2,[None],0.7169421487603306,8.229158278011823,37.20060140482564,1
19683,0,[None],0.8842975206611571,8.229158278011823,37.20060140482564,1
19683,1,[None],0.5619834710743802,8.849341355941744,1959.8287045931659,1
19683,2,[None],0.6074380165289257,2.0585473711308153,9699.098524628958,1
59049,0,[None],0.6828512396694215,8.229158278011823,37.20060140482564,1
59049,1,[None],0.7665289256198347,70.56613101281184,7290.489244705752,1
59049,2,[None],0.6012396694214875,18.182578538213342,1834.0451801938873,1
