random_seed,fold,threshold,roc_auc,n_neighbors,Animales__vr__count
3,0,[None],0.913223140495868,29,1
3,1,[None],0.9152892561983471,22,1
3,2,[None],0.9411157024793388,29,1
9,0,[None],0.9617768595041322,19,1
9,1,[None],0.9018595041322315,28,1
9,2,[None],0.8863636363636364,29,1
27,0,[None],0.9390495867768596,26,1
27,1,[None],0.9359504132231405,22,1
27,2,[None],0.878099173553719,26,1
81,0,[None],0.9369834710743802,28,1
81,1,[None],0.8801652892561984,28,1
81,2,[None],0.9524793388429752,16,1
243,0,[None],0.8997933884297521,20,1
243,1,[None],0.9473140495867769,27,1
243,2,[None],0.9214876033057852,25,1
729,0,[None],0.9617768595041323,28,1
729,1,[None],0.884297520661157,19,1
729,2,[None],0.8853305785123966,31,1
2187,0,[None],0.9214876033057852,34,1
2187,1,[None],0.9266528925619836,25,1
2187,2,[None],0.9194214876033059,31,1
6561,0,[None],0.9359504132231407,24,1
6561,1,[None],0.9008264462809917,28,1
6561,2,[None],0.9256198347107438,27,1
19683,0,[None],0.9958677685950413,24,1
19683,1,[None],0.8780991735537189,31,1
19683,2,[None],0.8739669421487604,28,1
59049,0,[None],0.9349173553719009,22,1
59049,1,[None],0.9359504132231404,29,1
59049,2,[None],0.887396694214876,30,1
