random_seed,fold,threshold,r2,alpha,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],0.0349462735070275,0.05535276332334463,0,1,1,1,1,0,0
3,1,[None],0.018275093552927113,0.10344626034033019,0,1,1,1,1,1,1
3,2,[None],-0.02829709788341983,3745.401194728224,1,1,1,1,1,1,1
3,3,[None],-0.08642776478333292,3745.401194728224,1,1,1,1,1,1,1
3,4,[None],0.03761540576853095,0.05535276332334463,0,0,1,0,1,1,0
