random_seed,fold,threshold,r2,n_neighbors,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],0.04780086741345846,14,1,1,1,1,1,0,1
3,1,[None],0.010769267674818672,39,1,0,0,1,1,1,0
3,2,[None],0.0777041797831407,4,0,1,1,1,1,1,0
3,3,[None],-0.05489901165902911,30,1,1,1,1,1,1,1
3,4,[None],0.09022015629600677,3,1,1,1,0,1,1,1
