task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy,roc_auc_extremo
Animales,properties,target,xgb,,bca,"0.55954, (0.46329, 0.64501)","0.53939, (0.47551, 0.60606)","0.55030, (0.45425, 0.64473)","0.56364, (0.47051, 0.65318)","0.53757, (0.40915, 0.67193)","0.92121, (0.73950, 1.02799)","1.60964, (1.33965, 1.95115)",0.46329
Animales,properties__timing,target,xgb,,bca,"0.58981, (0.48821, 0.67517)","0.55909, (0.48485, 0.62273)","0.57642, (0.47356, 0.66325)","0.60000, (0.49484, 0.69136)","0.55462, (0.42031, 0.67898)","0.88182, (0.66123, 1.00341)","1.48980, (1.24312, 1.78337)",0.48821
Animales,timing,target,xgb,,bca,"0.60938, (0.51360, 0.69900)","0.56515, (0.49848, 0.63485)","0.57355, (0.47983, 0.66979)","0.58485, (0.48200, 0.68440)","0.56268, (0.43045, 0.69907)","0.86970, (0.64929, 0.97522)","1.49019, (1.22260, 1.78893)",0.5136
Animales__P,properties,target,xgb,,bca,"0.53030, (0.43278, 0.61391)","0.50758, (0.43788, 0.57273)","0.50683, (0.40769, 0.59945)","0.50606, (0.41134, 0.60000)","0.50760, (0.37619, 0.65331)","0.98485, (0.80181, 1.08107)","1.65697, (1.39323, 1.91725)",0.43278
Animales__P,properties__timing,target,xgb,,bca,"0.59343, (0.49219, 0.68031)","0.55000, (0.47633, 0.61653)","0.55204, (0.45232, 0.63766)","0.55455, (0.45414, 0.65216)","0.54955, (0.41753, 0.67913)","0.90000, (0.73095, 1.02069)","1.39553, (1.15019, 1.65117)",0.49219
Animales__P,timing,target,svc,,bca,"0.50000, (0.47849, 0.51849)","0.50000, (0.36364, 0.60606)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00428)",0.47849
brain,norm_brain_lit,target,xgb,,bca,"0.56798, (0.48205, 0.64951)","0.53636, (0.47424, 0.60455)","0.53916, (0.44551, 0.63151)","0.54242, (0.44625, 0.64069)","0.53593, (0.40883, 0.67725)","0.92727, (0.72184, 1.02675)","1.32392, (1.12256, 1.53068)",0.48205
connectivity,networks,target,svc,,bca,"0.52589, (0.46937, 0.57853)","0.51923, (0.45338, 0.59465)","0.41860, (0.32822, 0.49007)","0.34615, (0.27978, 0.41429)","0.52941, (0.35958, 0.67680)","0.96154, (0.80445, 1.04258)","1.04393, (0.98811, 1.10362)",0.46937
nps,executive,target,svc,,bca,"0.54376, (0.49779, 0.59235)","0.51970, (0.45758, 0.58551)","0.38685, (0.32102, 0.45009)","0.30303, (0.25143, 0.35708)","0.53476, (0.40312, 0.67642)","0.96061, (0.82847, 1.00667)","1.17253, (1.07869, 1.27258)",0.49779
nps,executive__mmse,target,svc,,bca,"0.50312, (0.46075, 0.53871)","0.50000, (0.42121, 0.56970)","0.30672, (0.24896, 0.37262)","0.22121, (0.17514, 0.27237)","0.50000, (0.36162, 0.64086)","1.00000, (0.91819, 1.04194)","1.06770, (1.01581, 1.14146)",0.46075
nps,mmse,target,svc,,bca,"0.50385, (0.45334, 0.55941)","0.50526, (0.45614, 0.55439)","0.55380, (0.46154, 0.63303)","0.60345, (0.53846, 0.66333)","0.51170, (0.38131, 0.64149)","1.00714, (0.84084, 1.07692)","1.05594, (1.01276, 1.09100)",0.45334
P,properties,target,xgb,,bca,"0.54650, (0.46284, 0.62786)","0.53182, (0.46515, 0.58788)","0.50242, (0.41157, 0.59313)","0.47273, (0.37934, 0.57237)","0.53608, (0.40468, 0.66900)","0.93636, (0.78774, 1.02423)","1.60943, (1.34827, 1.89183)",0.46284
P,properties__timing,target,xgb,,bca,"0.52273, (0.43230, 0.61484)","0.50909, (0.43030, 0.57965)","0.50760, (0.39880, 0.60976)","0.50606, (0.40606, 0.61221)","0.50915, (0.36760, 0.65758)","0.98182, (0.79151, 1.09245)","1.73245, (1.44845, 2.01988)",0.4323
P,timing,target,svc,,bca,"0.46919, (0.42598, 0.50758)","0.48030, (0.37727, 0.57121)","0.12723, (0.09088, 0.17201)","0.07576, (0.05278, 0.10355)","0.39683, (0.25212, 0.57535)","1.03939, (0.98208, 1.08276)","1.04545, (1.01241, 1.08861)",0.42598
