task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
Animales__P,properties,target,xgb,,percentile,"0.84330, (0.75383, 0.91465)","0.77121, (0.68936, 0.84394)","0.77017, (0.66866, 0.85073)","0.76667, (0.65000, 0.86774)","0.77370, (0.64099, 0.88474)","0.45758, (0.34545, 0.73243)","0.81238, (0.56434, 1.13198)"
Animales__P,properties__timing,target,knnc,,percentile,"0.78223, (0.68608, 0.87837)","0.63939, (0.54087, 0.73939)","0.48485, (0.34758, 0.61397)","0.33939, (0.22691, 0.46670)","0.84848, (0.67085, 0.97728)","0.72121, (0.59332, 1.15205)","0.96514, (0.78431, 1.20931)"
Animales__P,properties__timing,target,lr,,percentile,"0.70926, (0.62089, 0.79674)","0.71061, (0.62723, 0.79246)","0.69537, (0.57032, 0.79400)","0.66061, (0.52257, 0.78080)","0.73401, (0.58169, 0.86456)","0.57879, (0.43868, 0.89695)","1.22295, (1.05911, 1.41552)"
Animales__P,properties__timing,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
Animales__P,properties__timing,target,xgb,,percentile,"0.78552, (0.68960, 0.86993)","0.71818, (0.63333, 0.79545)","0.71560, (0.60572, 0.80161)","0.70909, (0.59705, 0.81039)","0.72222, (0.57455, 0.84260)","0.56364, (0.44512, 0.87312)","0.98267, (0.71282, 1.30784)"
Animales__P,timing,target,knnc,,percentile,"0.67231, (0.56748, 0.76987)","0.60909, (0.50451, 0.71212)","0.48400, (0.33331, 0.61542)","0.36667, (0.23426, 0.50363)","0.71176, (0.52493, 0.87107)","0.78182, (0.65618, 1.21256)","1.00013, (0.92994, 1.10509)"
Animales__P,timing,target,lr,,percentile,"0.67749, (0.58719, 0.77066)","0.63485, (0.55299, 0.72273)","0.63318, (0.52629, 0.72891)","0.63030, (0.51783, 0.75000)","0.63609, (0.48520, 0.77333)","0.73030, (0.58742, 1.10371)","1.14942, (0.92583, 1.41901)"
Animales__P,timing,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
Animales__P,timing,target,xgb,,percentile,"0.64824, (0.55303, 0.74954)","0.62576, (0.54697, 0.70909)","0.63516, (0.52100, 0.72879)","0.65152, (0.53548, 0.76337)","0.61960, (0.46665, 0.75585)","0.74848, (0.62889, 1.11605)","1.36179, (1.05090, 1.70030)"
nps,executive__mmse,target,knnc,,percentile,"0.91433, (0.85752, 0.96146)","0.81818, (0.74087, 0.88640)","0.78339, (0.67783, 0.86814)","0.65758, (0.52421, 0.78521)","0.96875, (0.92021, 1.00000)","0.36364, (0.24688, 0.61565)","0.59728, (0.46390, 0.76425)"
