tasks,dimensions,y_label,bootstrap method,roc_auc,p_value_roc_auc,accuracy,p_value_accuracy,f1,p_value_f1,recall,p_value_recall,precision,p_value_precision,norm_expected_cost,p_value_norm_expected_cost,norm_cross_entropy,p_value_norm_cross_entropy
"[Animales__P, nps]","[timing, executive__mmse]",target,bca,"-0.254, (-0.354, -0.157)",0.0,"-0.221, (-0.315, -0.117)",0.0,"-0.223, (-0.328, -0.111)",0.0,"-0.224, (-0.366, -0.050)",0.007,"-0.221, (-0.340, -0.108)",0.0,"0.442, (0.162, 0.637)",0.0,"0.612, (0.290, 0.901)",0.0
"[Animales__P, nps]","[timing, mmse]",target,bca,"-0.264, (-0.386, -0.175)",0.0,"-0.200, (-0.298, -0.090)",0.0,"-0.200, (-0.344, -0.058)",0.003,"-0.111, (-0.288, 0.070)",0.106,"-0.327, (-0.491, -0.193)",0.0,"0.422, (0.148, 0.679)",0.0,"0.610, (0.370, 0.900)",0.0
"[Animales__P, P]","[timing, properties]",target,bca,"0.010, (-0.111, 0.132)",0.444,"0.003, (-0.097, 0.106)",0.474,"-0.001, (-0.123, 0.114)",0.502,"-0.009, (-0.180, 0.150)",0.468,"0.006, (-0.088, 0.110)",0.44,"-0.006, (-0.239, 0.227)",0.475,"-0.126, (-0.520, 0.200)",0.254
"[Animales__P, P]","[timing, properties__timing]",target,bca,"0.018, (-0.085, 0.125)",0.387,"-0.020, (-0.116, 0.083)",0.335,"-0.018, (-0.137, 0.103)",0.367,"-0.015, (-0.181, 0.143)",0.433,"-0.021, (-0.113, 0.072)",0.325,"0.039, (-0.191, 0.247)",0.336,"-0.021, (-0.259, 0.234)",0.438
"[Animales__P, P]","[timing, timing]",target,bca,"0.029, (-0.061, 0.112)",0.269,"0.044, (-0.045, 0.117)",0.158,"0.052, (-0.035, 0.135)",0.131,"0.064, (-0.042, 0.169)",0.147,"0.041, (-0.051, 0.129)",0.185,"-0.088, (-0.249, 0.113)",0.158,"0.119, (-0.047, 0.316)",0.103
"[brain, connectivity]","[norm_brain_lit, networks]",target,bca,"0.253, (0.119, 0.380)",0.0,"0.235, (0.116, 0.350)",0.0,"0.246, (0.111, 0.372)",0.0,"0.264, (0.079, 0.419)",0.001,"0.228, (0.096, 0.375)",0.0,"-0.470, (-0.689, -0.163)",0.0,"-0.401, (-0.699, -0.016)",0.015
"[brain, nps]","[norm_brain_lit, executive]",target,bca,"0.107, (0.008, 0.224)",0.026,"0.070, (-0.037, 0.177)",0.114,"0.080, (-0.033, 0.210)",0.103,"0.112, (-0.057, 0.288)",0.102,"0.046, (-0.073, 0.167)",0.255,"-0.139, (-0.382, 0.127)",0.116,"-0.219, (-0.491, 0.152)",0.106
"[brain, nps]","[norm_brain_lit, executive__mmse]",target,bca,"-0.033, (-0.126, 0.040)",0.206,"-0.027, (-0.123, 0.077)",0.304,"-0.027, (-0.127, 0.076)",0.303,"-0.024, (-0.171, 0.131)",0.371,"-0.029, (-0.150, 0.083)",0.301,"0.055, (-0.176, 0.269)",0.304,"0.108, (-0.247, 0.509)",0.288
"[brain, nps]","[norm_brain_lit, mmse]",target,bca,"-0.064, (-0.163, 0.007)",0.06,"-0.044, (-0.163, 0.063)",0.22,"-0.021, (-0.173, 0.118)",0.379,"0.096, (-0.118, 0.286)",0.18,"-0.177, (-0.329, -0.073)",0.0,"0.093, (-0.150, 0.379)",0.22,"0.202, (-0.130, 0.644)",0.15
"[brain, P]","[norm_brain_lit, properties]",target,bca,"0.231, (0.111, 0.345)",0.0,"0.197, (0.087, 0.305)",0.0,"0.194, (0.081, 0.301)",0.002,"0.191, (0.031, 0.321)",0.007,"0.198, (0.078, 0.346)",0.0,"-0.394, (-0.625, -0.100)",0.0,"-0.630, (-1.028, -0.223)",0.003
"[brain, P]","[norm_brain_lit, properties__timing]",target,bca,"0.239, (0.138, 0.352)",0.0,"0.174, (0.076, 0.276)",0.001,"0.178, (0.071, 0.295)",0.001,"0.185, (0.035, 0.329)",0.009,"0.170, (0.063, 0.316)",0.003,"-0.348, (-0.570, -0.097)",0.001,"-0.525, (-0.821, -0.158)",0.004
"[brain, P]","[norm_brain_lit, timing]",target,bca,"0.250, (0.112, 0.372)",0.0,"0.238, (0.111, 0.342)",0.0,"0.248, (0.100, 0.366)",0.0,"0.264, (0.069, 0.424)",0.007,"0.232, (0.109, 0.372)",0.0,"-0.476, (-0.678, -0.151)",0.0,"-0.385, (-0.652, 0.012)",0.022
"[connectivity, nps]","[networks, executive]",target,bca,"-0.145, (-0.273, 0.002)",0.02,"-0.165, (-0.277, -0.046)",0.0,"-0.166, (-0.287, -0.030)",0.004,"-0.152, (-0.306, 0.032)",0.037,"-0.183, (-0.335, -0.056)",0.004,"0.330, (0.055, 0.557)",0.0,"0.182, (-0.064, 0.419)",0.063
"[connectivity, nps]","[networks, executive__mmse]",target,bca,"-0.286, (-0.400, -0.166)",0.0,"-0.262, (-0.366, -0.147)",0.0,"-0.273, (-0.393, -0.141)",0.0,"-0.288, (-0.436, -0.087)",0.001,"-0.258, (-0.403, -0.121)",0.0,"0.524, (0.218, 0.734)",0.0,"0.510, (0.166, 0.785)",0.0
