task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy,roc_auc_extremo
Animales,properties,target,xgb,,percentile,"0.83642, (0.73972, 0.90632)","0.75152, (0.66966, 0.82125)","0.74295, (0.63876, 0.82465)","0.71818, (0.59993, 0.82289)","0.76948, (0.63665, 0.87502)","0.49697, (0.38707, 0.77144)","0.84047, (0.59105, 1.17356)",0.73972
Animales,properties__timing,target,xgb,,percentile,"0.81581, (0.71669, 0.89201)","0.74545, (0.66364, 0.81818)","0.73585, (0.62776, 0.81593)","0.70909, (0.57876, 0.81538)","0.76471, (0.62533, 0.87098)","0.50909, (0.39374, 0.80009)","0.91523, (0.64458, 1.27461)",0.71669
Animales,timing,target,knnc,,percentile,"0.69191, (0.59202, 0.78324)","0.63485, (0.53788, 0.72428)","0.56420, (0.43649, 0.67074)","0.47273, (0.34472, 0.60313)","0.69955, (0.52755, 0.84730)","0.73030, (0.60295, 1.12621)","1.11256, (0.98393, 1.29284)",0.59202
Animales__P,properties,target,xgb,,percentile,"0.84330, (0.75383, 0.91465)","0.77121, (0.68936, 0.84394)","0.77017, (0.66866, 0.85073)","0.76667, (0.65000, 0.86774)","0.77370, (0.64099, 0.88474)","0.45758, (0.34545, 0.73243)","0.81238, (0.56434, 1.13198)",0.75383
Animales__P,properties__timing,target,xgb,,percentile,"0.78552, (0.68960, 0.86993)","0.71818, (0.63333, 0.79545)","0.71560, (0.60572, 0.80161)","0.70909, (0.59705, 0.81039)","0.72222, (0.57455, 0.84260)","0.56364, (0.44512, 0.87312)","0.98267, (0.71282, 1.30784)",0.6896
Animales__P,timing,target,lr,,percentile,"0.67749, (0.58719, 0.77066)","0.63485, (0.55299, 0.72273)","0.63318, (0.52629, 0.72891)","0.63030, (0.51783, 0.75000)","0.63609, (0.48520, 0.77333)","0.73030, (0.58742, 1.10371)","1.14942, (0.92583, 1.41901)",0.58719
brain,norm_brain_lit,target,xgb,,percentile,"0.89837, (0.82046, 0.95489)","0.82879, (0.74693, 0.89091)","0.82905, (0.73599, 0.89636)","0.83030, (0.72220, 0.92357)","0.82779, (0.70022, 0.92407)","0.34242, (0.23631, 0.58940)","0.64569, (0.40758, 0.99481)",0.82046
connectivity,networks,target,lr,,percentile,"0.64579, (0.53757, 0.74556)","0.59394, (0.50909, 0.67129)","0.58255, (0.46395, 0.68305)","0.56667, (0.43589, 0.69644)","0.59936, (0.45421, 0.73989)","0.81212, (0.69697, 1.19630)","1.04715, (0.88062, 1.26092)",0.53757
nps,executive,target,lr,,percentile,"0.79101, (0.69512, 0.87790)","0.75909, (0.66970, 0.84398)","0.74882, (0.63274, 0.84628)","0.71818, (0.58000, 0.84286)","0.78218, (0.63854, 0.90086)","0.48182, (0.33932, 0.79040)","0.86484, (0.72953, 1.04424)",0.69512
nps,executive__mmse,target,xgb,,percentile,"0.93151, (0.88258, 0.97216)","0.85606, (0.78788, 0.92273)","0.85584, (0.76469, 0.92584)","0.85455, (0.74375, 0.94360)","0.85714, (0.74564, 0.94461)","0.28788, (0.17094, 0.48394)","0.53757, (0.31522, 0.76973)",0.88258
nps,mmse,target,knnc,,percentile,"0.90444, (0.84365, 0.95549)","0.78485, (0.70299, 0.85909)","0.75768, (0.64987, 0.84314)","0.67273, (0.54189, 0.78531)","0.86719, (0.75119, 0.95034)","0.43030, (0.30967, 0.70402)","0.60807, (0.48264, 0.75680)",0.84365
P,properties,target,xgb,,percentile,"0.66777, (0.57556, 0.75928)","0.63182, (0.55905, 0.71212)","0.63459, (0.52474, 0.72158)","0.63939, (0.53331, 0.74416)","0.62985, (0.48231, 0.75458)","0.73636, (0.62117, 1.09350)","1.27549, (1.02678, 1.57237)",0.57556
P,properties__timing,target,lr,,percentile,"0.65953, (0.57533, 0.74601)","0.65455, (0.57121, 0.73636)","0.65138, (0.52744, 0.74407)","0.64545, (0.52701, 0.76574)","0.65741, (0.50889, 0.78751)","0.69091, (0.55157, 1.03765)","1.17090, (1.02730, 1.34076)",0.57533
P,timing,target,lr,,percentile,"0.64848, (0.55080, 0.75374)","0.59091, (0.51663, 0.68182)","0.58075, (0.46519, 0.69124)","0.56667, (0.44411, 0.70000)","0.59554, (0.45323, 0.73379)","0.81818, (0.68689, 1.19250)","1.03069, (0.85778, 1.23414)",0.5508
