task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
grandmean,properties__timing,target,xgb,,bca,"0.69418, (0.57363, 0.78738)","0.66667, (0.56818, 0.74242)","0.66767, (0.54144, 0.75775)","0.66970, (0.52384, 0.76722)","0.66566, (0.49479, 0.78189)","0.66667, (0.43532, 0.85315)","1.21588, (0.91596, 1.59801)"
grandmean,timing,target,knnc,,bca,"0.65536, (0.54212, 0.75177)","0.63333, (0.52339, 0.72424)","0.55019, (0.39761, 0.66790)","0.44848, (0.30481, 0.59673)","0.71154, (0.49662, 0.85134)","0.73333, (0.52396, 0.92858)","0.98218, (0.92379, 1.05426)"
grandmean,timing,target,lr,,bca,"0.69057, (0.57915, 0.77932)","0.66061, (0.55909, 0.74343)","0.64217, (0.50996, 0.74292)","0.60909, (0.47337, 0.73382)","0.67905, (0.51393, 0.81337)","0.67879, (0.46404, 0.85000)","0.99103, (0.87950, 1.18158)"
grandmean,timing,target,svc,,bca,"0.47302, (0.42833, 0.51355)","0.49091, (0.39848, 0.59697)","0.13846, (0.09042, 0.17816)","0.08182, (0.05266, 0.10857)","0.45000, (0.28788, 0.60528)","1.01818, (0.97576, 1.05313)","1.04202, (1.01669, 1.07389)"
grandmean,timing,target,xgb,,bca,"0.61599, (0.50898, 0.70844)","0.60303, (0.51568, 0.67727)","0.59568, (0.47407, 0.68965)","0.58485, (0.46215, 0.68895)","0.60692, (0.44777, 0.73970)","0.79394, (0.59013, 0.95000)","1.54154, (1.23094, 1.92868)"
nps,executive,target,knnc,,bca,"0.76337, (0.66346, 0.84108)","0.71212, (0.61635, 0.79545)","0.68647, (0.56461, 0.79320)","0.63030, (0.47201, 0.75882)","0.75362, (0.59786, 0.86883)","0.57576, (0.35010, 0.74062)","0.93343, (0.77290, 1.11582)"
nps,executive,target,lr,,bca,"0.79101, (0.68378, 0.86958)","0.75909, (0.66256, 0.83788)","0.74882, (0.63227, 0.84619)","0.71818, (0.55554, 0.82868)","0.78218, (0.62010, 0.89416)","0.48182, (0.27187, 0.66296)","0.86484, (0.72774, 1.04185)"
nps,executive,target,svc,,bca,"0.64244, (0.57364, 0.70153)","0.58636, (0.52121, 0.64692)","0.49162, (0.41779, 0.56034)","0.40000, (0.32553, 0.45448)","0.63768, (0.49741, 0.76562)","0.82727, (0.70373, 0.91333)","0.97361, (0.89447, 1.05424)"
nps,executive,target,xgb,,bca,"0.72383, (0.62364, 0.82039)","0.69697, (0.61061, 0.78210)","0.69231, (0.58065, 0.79312)","0.68182, (0.55199, 0.79264)","0.70312, (0.55668, 0.83623)","0.60606, (0.37625, 0.76318)","1.17478, (0.85266, 1.51702)"
nps,executive__mmse,target,knnc,,bca,"0.91433, (0.84900, 0.95659)","0.81818, (0.73030, 0.88050)","0.78339, (0.67751, 0.86803)","0.65758, (0.52124, 0.78283)","0.96875, (0.89893, 0.99585)","0.36364, (0.21373, 0.52333)","0.59728, (0.46690, 0.77081)"
nps,executive__mmse,target,lr,,bca,"0.91238, (0.84359, 0.95207)","0.85152, (0.76970, 0.90909)","0.84591, (0.74572, 0.91075)","0.81515, (0.67099, 0.90571)","0.87908, (0.75380, 0.94615)","0.29697, (0.16677, 0.45700)","0.59181, (0.48611, 0.74645)"
nps,executive__mmse,target,svc,,bca,"0.59478, (0.56849, 0.61661)","0.55000, (0.44618, 0.65455)","0.19946, (0.15196, 0.24938)","0.11212, (0.08306, 0.14384)","0.90244, (0.76526, 0.97436)","0.90000, (0.85943, 1.02258)","0.92071, (0.88764, 0.94816)"
nps,executive__mmse,target,xgb,,bca,"0.93151, (0.86765, 0.96935)","0.85606, (0.78020, 0.91818)","0.85584, (0.76335, 0.92343)","0.85455, (0.72647, 0.93369)","0.85714, (0.73359, 0.93686)","0.28788, (0.14062, 0.44280)","0.53757, (0.32224, 0.77546)"
nps,mmse,target,knnc,,bca,"0.90444, (0.83451, 0.95086)","0.78485, (0.69848, 0.85455)","0.75768, (0.65415, 0.84429)","0.67273, (0.53744, 0.78376)","0.86719, (0.73381, 0.94000)","0.43030, (0.26638, 0.58889)","0.60807, (0.48385, 0.76333)"
nps,mmse,target,lr,,bca,"0.89163, (0.80728, 0.94823)","0.82273, (0.73788, 0.88501)","0.81340, (0.70790, 0.88506)","0.77273, (0.63992, 0.86416)","0.85859, (0.71892, 0.93541)","0.35455, (0.19926, 0.50942)","0.74685, (0.64161, 0.87697)"
nps,mmse,target,svc,,bca,"0.75950, (0.64407, 0.85072)","0.79242, (0.68999, 0.86970)","0.80622, (0.70142, 0.88417)","0.86364, (0.72750, 0.93572)","0.75597, (0.60065, 0.86562)","0.41515, (0.23356, 0.60325)","0.81323, (0.61162, 1.07919)"
nps,mmse,target,xgb,,bca,"0.88921, (0.79031, 0.95002)","0.82273, (0.73168, 0.89242)","0.82819, (0.72367, 0.89888)","0.85455, (0.73366, 0.92754)","0.80342, (0.66163, 0.90715)","0.35455, (0.17257, 0.53567)","0.64640, (0.40464, 0.99554)"
