task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
nps,executive,target,lr,,bca,"0.46236, (0.37382, 0.56420)","0.47879, (0.40758, 0.55303)","0.45741, (0.37166, 0.55806)","0.43939, (0.34622, 0.52812)","0.47697, (0.34054, 0.62168)","1.04242, (0.81380, 1.15780)","1.15432, (1.04986, 1.28009)"
nps,executive,target,svc,,bca,"0.55313, (0.50191, 0.61027)","0.52879, (0.47424, 0.58939)","0.44165, (0.37280, 0.51314)","0.37273, (0.31472, 0.43908)","0.54185, (0.41382, 0.67932)","0.94242, (0.83437, 1.00000)","1.11947, (1.03003, 1.21146)"
nps,executive,target,xgb,,bca,"0.43829, (0.36027, 0.51741)","0.44394, (0.37941, 0.50455)","0.43277, (0.34971, 0.52275)","0.42424, (0.34706, 0.50000)","0.44164, (0.31899, 0.58236)","1.11212, (0.89067, 1.21503)","1.72175, (1.48851, 1.96545)"
nps,executive__mmse,target,knnc,,bca,"0.44955, (0.39934, 0.50090)","0.47273, (0.39160, 0.55013)","0.24017, (0.18522, 0.31998)","0.16667, (0.12429, 0.23346)","0.42969, (0.29934, 0.58933)","1.05455, (0.95635, 1.10303)","1.09912, (1.04153, 1.16838)"
nps,executive__mmse,target,lr,,bca,"0.44090, (0.36143, 0.51719)","0.45606, (0.39394, 0.51271)","0.45358, (0.35559, 0.54656)","0.45152, (0.36667, 0.54236)","0.45566, (0.32321, 0.59210)","1.08788, (0.92753, 1.18738)","1.60339, (1.39947, 1.90496)"
nps,executive__mmse,target,svc,,bca,"0.53005, (0.49361, 0.57101)","0.51061, (0.41061, 0.60000)","0.19451, (0.14008, 0.25277)","0.11818, (0.08333, 0.15862)","0.54930, (0.37143, 0.71632)","0.97879, (0.90911, 1.02843)","1.03294, (0.98728, 1.08270)"
nps,executive__mmse,target,xgb,,bca,"0.40100, (0.32845, 0.47105)","0.41818, (0.36212, 0.47576)","0.41994, (0.33740, 0.51085)","0.42121, (0.34738, 0.49698)","0.41867, (0.29609, 0.56230)","1.16364, (1.02261, 1.24853)","1.96117, (1.71649, 2.19562)"
nps,mmse,target,knnc,,bca,"0.45771, (0.40259, 0.51170)","0.46667, (0.40000, 0.52888)","0.31518, (0.24230, 0.38859)","0.24545, (0.19062, 0.31071)","0.44022, (0.30460, 0.59241)","1.06667, (0.95030, 1.13445)","1.27560, (1.17474, 1.36863)"
nps,mmse,target,lr,,bca,"0.37091, (0.29772, 0.44921)","0.40152, (0.33788, 0.45909)","0.43972, (0.34314, 0.53345)","0.46970, (0.36929, 0.55822)","0.41333, (0.28785, 0.54743)","1.19697, (1.03672, 1.26970)","1.27195, (1.16360, 1.39951)"
nps,mmse,target,svc,,bca,"0.54233, (0.49487, 0.58834)","0.51667, (0.44850, 0.57576)","0.38536, (0.31802, 0.46704)","0.30303, (0.24309, 0.36915)","0.52910, (0.40264, 0.67585)","0.96667, (0.86367, 1.01613)","1.04041, (0.99577, 1.08848)"
nps,mmse,target,xgb,,bca,"0.41041, (0.34561, 0.47366)","0.43636, (0.38727, 0.49089)","0.43807, (0.35665, 0.52275)","0.43939, (0.36126, 0.51935)","0.43675, (0.31988, 0.57922)","1.12727, (0.99400, 1.18562)","1.48363, (1.33393, 1.66528)"
