task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
Animales__P,timing,target,lr,,bca,"0.66915, (0.56187, 0.76217)","0.62273, (0.53551, 0.70606)","0.62891, (0.51982, 0.72354)","0.63939, (0.52146, 0.74980)","0.61877, (0.46226, 0.75047)","0.75455, (0.50317, 0.90741)","1.21108, (0.94953, 1.50717)"
Animales__P,timing,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
Animales__P,timing,target,xgb,,bca,"0.64853, (0.54188, 0.74526)","0.62576, (0.54091, 0.70606)","0.63299, (0.52253, 0.72981)","0.64545, (0.52438, 0.74676)","0.62099, (0.45954, 0.74922)","0.74848, (0.52876, 0.90953)","1.31942, (1.03647, 1.67513)"
brain,norm_brain_lit,target,knnc,,bca,"0.88531, (0.77010, 0.94576)","0.82879, (0.73194, 0.90303)","0.81745, (0.70215, 0.90049)","0.76667, (0.61086, 0.88268)","0.87543, (0.73506, 0.96596)","0.34242, (0.16702, 0.52792)","0.69546, (0.52596, 1.00476)"
brain,norm_brain_lit,target,lr,,bca,"0.87793, (0.77311, 0.93906)","0.85000, (0.76506, 0.90758)","0.84746, (0.75248, 0.91289)","0.83333, (0.70000, 0.91873)","0.86207, (0.71878, 0.93800)","0.30000, (0.15631, 0.45979)","0.77237, (0.53808, 1.19305)"
brain,norm_brain_lit,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
brain,norm_brain_lit,target,xgb,,bca,"0.90259, (0.81524, 0.95225)","0.81667, (0.72796, 0.88030)","0.81639, (0.71536, 0.88757)","0.81515, (0.68400, 0.90369)","0.81763, (0.68201, 0.91421)","0.36667, (0.19718, 0.52465)","0.63035, (0.41093, 0.99511)"
connectivity,networks,target,knnc,,bca,"0.59283, (0.47472, 0.68812)","0.59423, (0.50000, 0.67500)","0.52796, (0.39955, 0.63902)","0.49167, (0.35429, 0.60967)","0.57005, (0.38139, 0.71796)","0.87917, (0.66028, 1.11765)","1.17736, (1.03749, 1.34184)"
connectivity,networks,target,lr,,bca,"0.68936, (0.54514, 0.81081)","0.67308, (0.56346, 0.75962)","0.63519, (0.48202, 0.75596)","0.61667, (0.44000, 0.75721)","0.65487, (0.43866, 0.79911)","0.70833, (0.46425, 0.96874)","1.03543, (0.78991, 1.33945)"
connectivity,networks,target,svc,,bca,"0.50988, (0.47711, 0.54564)","0.52885, (0.42500, 0.62885)","0.20712, (0.17132, 0.24773)","0.13333, (0.11035, 0.16123)","0.46377, (0.30692, 0.62894)","1.02083, (0.94355, 1.10986)","1.00299, (0.99575, 1.00958)"
connectivity,networks,target,xgb,,bca,"0.61196, (0.47913, 0.72704)","0.57885, (0.47500, 0.65769)","0.53105, (0.39338, 0.64901)","0.51667, (0.36765, 0.65198)","0.54626, (0.36778, 0.70582)","0.91250, (0.65570, 1.20000)","1.40797, (1.05951, 1.78660)"
nps,executive,target,knnc,,bca,"0.75661, (0.65167, 0.84521)","0.70606, (0.60000, 0.79697)","0.67559, (0.52631, 0.78604)","0.61212, (0.44712, 0.75150)","0.75373, (0.59118, 0.87353)","0.58788, (0.37850, 0.76861)","0.94644, (0.79090, 1.13786)"
