random_seed,fold,threshold,roc_auc,C,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.8657024793388429,1.5970410081755526,0,1,1,0,0,1,1,1,1,1,0,1,1,1
3,1,[None],0.8615702479338843,0.39582821413311187,0,0,0,0,1,1,1,0,1,0,1,0,0,0
3,2,[None],0.7737603305785123,37.45407443072437,1,0,1,1,1,1,1,1,1,1,0,0,0,0
9,0,[None],0.9524793388429752,37.45407443072437,0,1,1,0,1,1,0,0,1,0,0,0,0,0
9,1,[None],0.8119834710743802,2.0585473711308153,0,0,0,0,1,1,1,1,1,0,0,0,1,0
9,2,[None],0.7541322314049587,1.5109309800309185,0,1,0,1,0,1,1,0,1,1,0,1,0,1
27,0,[None],0.890495867768595,21.233989833916546,0,0,1,0,0,1,0,1,1,1,0,0,1,1
27,1,[None],0.8409090909090909,0.0001,0,0,0,0,1,1,1,0,1,0,0,1,0,1
27,2,[None],0.8223140495867769,36.63624769318484,0,1,0,0,1,1,1,0,1,0,0,0,1,0
81,0,[None],0.7882231404958678,66.25226218316976,0,0,0,1,1,1,1,1,1,0,1,1,0,1
81,1,[None],0.743801652892562,0.08488209455268973,1,1,1,1,0,1,1,0,1,1,0,1,1,1
81,2,[None],0.8801652892561984,52.475690687580624,1,0,1,0,0,1,1,1,1,1,1,1,0,0
243,0,[None],0.8347107438016529,3.0999815984724934,1,0,0,0,1,1,0,1,1,0,0,0,1,0
243,1,[None],0.8667355371900827,52.475690687580624,1,0,1,1,1,1,1,1,1,1,0,1,1,0
243,2,[None],0.8378099173553718,2.0585473711308153,0,1,1,0,1,1,1,0,1,1,1,0,1,0
729,0,[None],0.8161157024793388,0.0001,1,0,1,0,1,1,1,0,1,0,0,0,0,0
729,1,[None],0.8605371900826446,24.895725447621434,0,1,1,0,1,1,1,1,1,0,0,0,1,0
729,2,[None],0.8078512396694215,0.18357400489072656,0,1,0,0,0,1,1,0,1,0,0,1,0,1
2187,0,[None],0.8636363636363636,10.874655600907987,0,1,1,0,0,1,1,0,1,0,0,0,1,0
2187,1,[None],0.8429752066115702,1.5698508312583366,0,0,0,1,0,1,1,1,1,0,0,1,1,1
2187,2,[None],0.8119834710743802,0.0001,1,0,1,0,1,1,1,0,1,0,0,0,1,0
6561,0,[None],0.8450413223140497,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6561,1,[None],0.7871900826446282,52.00685011097897,0,0,1,1,1,1,1,1,1,1,1,1,1,0
6561,2,[None],0.8450413223140496,0.0001,0,0,1,0,1,1,1,0,1,0,1,0,0,1
19683,0,[None],0.9483471074380165,0.9971055927879193,1,1,1,1,0,1,1,1,1,1,0,0,1,0
19683,1,[None],0.7665289256198347,95.07143556956098,0,0,0,1,1,1,1,1,1,1,1,1,1,0
19683,2,[None],0.7417355371900826,1.3822831571722731,1,1,1,0,0,1,0,1,1,0,0,1,1,0
59049,0,[None],0.8491735537190083,0.0001,0,0,0,0,0,1,1,0,1,0,1,0,0,0
59049,1,[None],0.8409090909090909,13.949472115818118,0,0,0,1,1,1,1,0,1,1,1,1,1,0
59049,2,[None],0.8326446280991735,2.877116047611266,0,1,0,1,0,1,1,1,1,1,0,0,0,0
