random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__vr__count
3,0,[None],0.8884297520661156,28,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.7871900826446281,16,0,1,0,1,1,1,1,1,1,0,1,0,1,1
3,2,[None],0.7830578512396693,26,1,1,1,1,0,1,1,1,1,1,1,1,1,1
9,0,[None],0.7789256198347108,32,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9,1,[None],0.871900826446281,25,1,0,1,1,0,0,1,1,1,1,1,1,1,1
9,2,[None],0.7479338842975207,9,1,1,1,1,1,1,1,1,1,1,0,1,1,1
27,0,[None],0.7727272727272727,26,0,0,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.8801652892561983,29,1,1,1,1,1,1,0,1,1,1,1,0,1,1
27,2,[None],0.78099173553719,34,1,1,1,1,1,1,0,1,1,1,1,1,1,1
81,0,[None],0.8512396694214877,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.8037190082644627,35,1,1,1,0,1,1,1,1,0,1,0,1,0,1
81,2,[None],0.7861570247933886,31,1,1,1,1,1,1,1,1,0,1,1,1,1,1
243,0,[None],0.8305785123966942,10,1,1,1,1,0,1,1,1,0,1,0,1,1,0
243,1,[None],0.8667355371900827,26,0,1,1,1,1,1,0,1,0,1,1,0,1,1
243,2,[None],0.8264462809917354,30,1,1,1,1,1,1,1,0,1,1,0,1,1,1
729,0,[None],0.8853305785123966,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.7820247933884298,35,1,1,1,1,1,0,1,1,0,1,1,1,1,1
729,2,[None],0.7737603305785126,33,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2187,0,[None],0.7882231404958677,9,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2187,1,[None],0.8450413223140497,17,1,1,1,1,1,0,1,1,0,0,1,1,1,1
2187,2,[None],0.8378099173553718,26,1,1,1,1,1,1,0,1,1,0,1,1,1,1
6561,0,[None],0.743801652892562,7,1,1,1,1,1,1,1,0,1,1,1,1,0,1
6561,1,[None],0.7995867768595042,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.8729338842975206,7,1,1,1,1,1,1,1,0,1,0,0,1,1,1
19683,0,[None],0.8378099173553719,26,1,1,1,1,1,1,1,1,1,1,0,1,1,1
19683,1,[None],0.7644628099173554,8,1,1,1,1,0,1,1,1,1,1,1,0,1,1
19683,2,[None],0.8243801652892563,32,1,0,0,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.8181818181818181,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.8574380165289257,29,0,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7995867768595042,34,1,0,0,1,1,0,1,1,1,0,1,0,0,1
