feature,importance
fugu__word_properties__granularity_mean,1.0
fugu__word_properties__num_phonemes_mean,1.0
fugu__universal_dependencies__core_norm,1.0
fugu__universal_dependencies__non-core_norm,1.0
fugu__universal_dependencies__nominal_norm,1.0
fugu__universal_dependencies__non-dependency_norm,1.0
fugu__verbosity__ratio_verb_over_total,1.0
fugu__verbosity__ratio_adv_over_total,1.0
fugu__talking_intervals__npauses,1.0
fugu__talking_intervals__speechrate,1.0
fugu__talking_intervals__syllable_duration_mean,1.0
