random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,video_retelling__sentiment__NEG,video_retelling__sentiment__NEU,video_retelling__sentiment__POS,video_retelling__speech_timing__nsyll,video_retelling__speech_timing__npauses,video_retelling__speech_timing__speechrate,video_retelling__speech_timing__mean_syllable_duration,video_retelling__speech_timing__syllable_duration_std,video_retelling__speech_timing__mean_pause_duration,video_retelling__speech_timing__pause_duration_std,video_retelling__word_properties__mean_log_frq,video_retelling__word_properties__mean_num_phonemes,video_retelling__word_properties__mean_num_syll,video_retelling__word_properties__mean_phon_neigh
3,0,[None],-0.0807648081202943,4,18,0.001,0,0,0,0,1,1,1,0,1,1,1,0,1,0
3,1,[None],0.11230626176074698,1,452,1.0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
3,2,[None],-0.09415826916550252,4,471,0.001,1,1,0,0,1,1,1,1,1,1,1,0,1,1
3,3,[None],0.056075486788677464,7,156,0.33169648475342334,0,1,1,0,0,0,1,0,0,0,0,1,0,0
3,4,[None],-0.0964217419807114,10,427,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
