feature,importance
lamina2__composite__speech_timing,0.32029607819961686
fugu__composite__text_level,0.23428503134392462
lamina2__composite__text_level,0.2255453415930884
craft__composite__text_level,0.1495838075696255
craft__composite__speech_timing,0.0702897412937445
