random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],,14.66400913623008,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,84.84032419577039,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,2.5611834876056023,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,1.6058833574316522,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,49.517741493436006,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,59.86588855385524,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,52.475690687580624,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,43.194558669709714,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,2.2655893335000337,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,73.19942098174633,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,41.81165233220229,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,25.87807228200353,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,43.194558669709714,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,96.99098822521421,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,60.754524435658645,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,0.5968543734638588,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,66.25226218316976,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,65.3458659861435,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,51.42349241791732,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,97.78619453086247,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,2.7493458482330073,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,66.25226218316976,1,1,1,1,1,1,1,1,1,1,1,1,1
