random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.7097107438016529,1,407,0.7071504865037695,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1
3,1,[None],0.5661157024793388,4,475,0.7322619478695936,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.546487603305785,4,136,0.8289087716427774,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
9,0,[None],0.6229338842975207,2,149,0.45449713037693434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
9,1,[None],0.6394628099173554,8,486,0.001,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.44111570247933884,7,106,0.001,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
27,0,[None],0.5206611570247934,1,434,0.4322164928398928,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
27,1,[None],0.5495867768595041,1,467,1.0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
27,2,[None],0.7210743801652892,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
81,0,[None],0.6632231404958678,10,476,0.001,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1
81,1,[None],0.6002066115702479,1,408,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
81,2,[None],0.6559917355371901,1,17,0.46022459315127234,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
243,0,[None],0.5588842975206612,1,412,0.001,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
243,1,[None],0.5805785123966942,7,11,0.9699399423098324,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1
243,2,[None],0.6487603305785125,1,407,0.7071504865037695,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
729,0,[None],0.7200413223140496,1,432,1.0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
729,1,[None],0.5826446280991736,8,430,0.007945178400659513,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
729,2,[None],0.6363636363636364,7,5,0.001,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1
2187,0,[None],0.5867768595041323,5,296,0.047403962307277725,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
2187,1,[None],0.5888429752066116,1,408,1.0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
2187,2,[None],0.544421487603306,1,410,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
6561,0,[None],0.5175619834710743,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1
6561,1,[None],0.6043388429752067,1,114,0.42768068083763006,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
6561,2,[None],0.5185950413223142,1,115,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
19683,0,[None],0.6632231404958677,1,407,0.7071504865037695,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
19683,1,[None],0.4948347107438016,1,455,0.001,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
19683,2,[None],0.6136363636363636,1,409,0.8815029215131136,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1
59049,0,[None],0.6880165289256197,2,356,0.7610242635682806,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
59049,1,[None],0.4338842975206612,7,467,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
59049,2,[None],0.6838842975206612,1,17,0.4184959298155959,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
