random_seed,fold,threshold,r2,n_neighbors,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std,agradable__word_properties__word_properties_std_concr,agradable__word_properties__word_properties_kurt_concr,agradable__word_properties__word_properties_skew_concr,agradable__word_properties__word_properties_mean_concr,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],0.01341225353098019,42,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
3,1,[None],-0.01118825293918424,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],-0.02852939037566471,48,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3,3,[None],0.003990015839287153,39,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
3,4,[None],-0.021204084164320625,50,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
