random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.9028925619834711,3,163,0.729876572159726,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0
3,1,[None],0.8677685950413223,1,433,0.8079847658247145,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
3,2,[None],0.71900826446281,1,17,0.7883361456926332,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
9,0,[None],0.8347107438016529,6,26,0.2663156605463613,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.7334710743801653,2,169,0.9429667942086066,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0
9,2,[None],0.8935950413223142,1,452,0.325849246619033,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
27,0,[None],0.8543388429752066,1,432,0.8058871390304791,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
27,1,[None],0.8698347107438016,6,156,0.520547953156633,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
27,2,[None],0.8429752066115702,1,408,0.5143061784621396,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0
81,0,[None],0.8099173553719008,2,23,0.3260050004325011,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
81,1,[None],0.7933884297520661,9,386,0.19951696585263823,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.6487603305785125,4,485,0.9930372873026838,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.8057851239669422,5,163,0.4709376306905979,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8057851239669421,2,169,0.9429667942086066,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
243,2,[None],0.8946280991735537,1,453,0.2780082066853894,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1
729,0,[None],0.8047520661157025,6,86,0.06598654139229423,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1
729,1,[None],0.7913223140495868,7,469,0.8949325230772212,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
729,2,[None],0.8884297520661157,1,407,0.7071504865037695,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0
2187,0,[None],0.828512396694215,1,454,1.0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0
2187,1,[None],0.8657024793388429,6,461,0.08940400954986757,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
2187,2,[None],0.8099173553719008,6,443,0.5871610285332687,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
6561,0,[None],0.8615702479338843,2,356,0.7610242635682806,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6561,1,[None],0.7975206611570249,1,407,0.7071504865037695,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
6561,2,[None],0.8429752066115702,4,136,0.8289087716427774,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
19683,0,[None],0.6435950413223142,3,205,0.7557955874045056,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
19683,1,[None],0.902892561983471,1,16,0.6367740008525166,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
19683,2,[None],0.7727272727272727,9,300,0.46082036115002734,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
59049,0,[None],0.8884297520661156,2,169,0.9429667942086066,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.8347107438016529,2,356,0.7610242635682806,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
59049,2,[None],0.8873966942148761,5,214,0.026393707617351093,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0
