random_seed,fold,threshold,roc_auc,C,gamma,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],,76.21127654230405,191.38160176043775,1,1,1,1,1,1,1
3,1,[None],,59.62219633485219,110.48467353230946,1,1,1,1,1,1,1
3,2,[None],,37.27328559018122,1.6294494462637688,1,1,1,1,1,1,1
9,0,[None],,18.058699989463506,0.29359967629087586,1,1,1,1,1,1,1
9,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
9,2,[None],,57.12444000501064,120.40610185574232,1,1,1,1,1,1,1
27,0,[None],,4.847129514202599,44.108086004169856,1,1,1,1,1,1,1
27,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
27,2,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
81,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
81,1,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
81,2,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
243,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
243,1,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
243,2,[None],,59.95798220302467,119.95874111531005,1,1,1,1,1,1,1
729,0,[None],,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1
729,1,[None],,43.006836430888264,19.568947543978375,1,1,1,1,1,1,1
729,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
2187,0,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
2187,1,[None],,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1
2187,2,[None],,62.04624545253031,118.38705731372919,1,1,1,1,1,1,1
6561,0,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
6561,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
6561,2,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
19683,0,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1
19683,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
19683,2,[None],,50.028021031250184,113.16392348033438,1,1,1,1,1,1,1
59049,0,[None],,100.0,568.498611299775,1,1,1,1,1,1,1
59049,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1
59049,2,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1
