random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.6880165289256198,3,258,0.7515498677607176,0,1,1,0,1,1,1,1,1,0,1,1,1
3,1,[None],0.7458677685950414,4,58,0.8632403224497179,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.7551652892561983,1,407,0.7071504865037695,1,1,1,0,1,1,0,1,0,0,0,0,1
9,0,[None],0.7572314049586777,1,454,0.2595212016184169,0,1,0,1,1,0,0,0,1,1,1,0,0
9,1,[None],0.7231404958677686,1,116,0.6741511664084485,1,0,1,0,1,0,1,0,1,0,0,0,1
9,2,[None],0.6828512396694215,4,475,0.7322619478695936,0,0,0,0,0,1,1,0,1,1,0,0,0
27,0,[None],0.768595041322314,1,433,0.88890231470826,1,1,0,0,1,1,0,1,1,1,0,1,1
27,1,[None],0.8264462809917356,1,17,0.29648667521250643,0,0,0,0,1,0,1,0,0,1,1,0,1
27,2,[None],0.6694214876033059,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7148760330578513,4,61,0.49568173320115894,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.6652892561983471,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,0,1
81,2,[None],0.8243801652892562,1,114,0.42768068083763006,0,1,1,0,1,1,1,0,1,1,0,0,0
243,0,[None],0.6301652892561984,1,454,0.3145348066612361,0,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.7066115702479339,4,140,0.5397042863649744,0,1,0,0,0,1,1,1,1,1,1,1,1
243,2,[None],0.6487603305785123,4,58,0.8632403224497179,0,1,0,1,1,1,0,1,1,1,1,1,0
729,0,[None],0.743801652892562,1,407,0.7071504865037695,0,0,0,1,0,1,0,1,1,1,0,0,1
729,1,[None],0.7913223140495868,1,115,0.41507238476874747,1,0,0,1,1,0,1,0,1,1,0,1,1
729,2,[None],0.7086776859504131,4,143,0.7015538117675528,0,1,1,1,1,0,1,1,1,0,1,1,1
2187,0,[None],0.8243801652892562,1,328,0.9028091403563189,0,0,0,1,1,1,1,1,1,1,0,0,1
2187,1,[None],0.7293388429752067,1,433,0.6015138967314656,0,0,0,1,1,1,0,1,1,0,1,0,0
2187,2,[None],0.7252066115702479,3,249,0.3015774315069529,0,1,0,0,1,1,1,1,0,1,1,1,0
6561,0,[None],0.6818181818181818,1,16,0.6367740008525166,1,1,1,1,1,1,0,0,1,1,0,0,1
6561,1,[None],0.5165289256198347,2,152,0.5252316752006057,1,1,1,1,1,1,1,0,1,1,1,1,1
6561,2,[None],0.7778925619834711,7,469,0.8949325230772212,1,1,0,0,1,1,1,1,0,1,1,0,1
19683,0,[None],0.7024793388429753,5,93,0.969615043136794,1,1,1,1,1,1,0,1,0,0,1,1,1
19683,1,[None],0.7727272727272728,2,23,0.3337552888146121,1,0,1,1,1,1,1,0,1,1,1,0,1
19683,2,[None],0.7572314049586777,1,433,0.6015138967314656,1,1,0,0,1,1,1,0,0,1,0,0,1
59049,0,[None],0.8078512396694215,1,454,0.2595212016184169,1,0,0,0,1,1,0,1,0,1,1,0,1
59049,1,[None],0.7262396694214877,1,489,0.001,1,1,1,1,1,1,0,1,1,1,1,1,0
59049,2,[None],0.7561983471074379,7,11,0.9699399423098324,1,1,1,1,1,0,1,1,0,1,1,1,1
