random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.597107438016529,36,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.6549586776859505,6,1,1,0,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.6084710743801653,18,1,1,1,1,1,1,1,1,1,0,0,1,1
9,0,[None],0.6136363636363635,1,1,1,1,1,1,1,1,0,0,1,1,1,1
9,1,[None],0.6425619834710744,3,1,1,1,1,1,1,1,0,1,1,1,0,1
9,2,[None],0.7107438016528925,22,1,1,1,0,1,1,1,1,1,1,1,1,0
27,0,[None],0.6136363636363635,1,1,1,1,1,1,1,1,0,1,1,1,0,0
27,1,[None],0.6993801652892562,19,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.7272727272727273,1,1,1,1,1,1,0,1,1,0,1,1,1,1
81,0,[None],0.696280991735537,9,1,1,1,0,1,1,0,1,1,1,1,0,1
81,1,[None],0.6456611570247934,38,1,1,1,1,1,0,1,1,1,1,0,1,1
81,2,[None],0.6301652892561984,14,1,1,1,1,1,1,1,0,1,0,0,1,1
243,0,[None],0.7200413223140496,6,0,1,1,1,1,1,1,1,0,1,0,0,0
243,1,[None],0.7035123966942148,19,0,1,1,1,1,1,1,1,0,1,1,1,1
243,2,[None],0.6849173553719008,26,1,1,0,1,1,1,1,0,1,1,1,1,1
729,0,[None],0.7045454545454546,27,1,1,0,0,1,1,0,0,1,0,1,1,1
729,1,[None],0.6590909090909091,15,1,1,1,1,1,1,1,1,1,1,0,1,1
729,2,[None],0.6621900826446281,17,1,0,1,0,0,0,1,1,1,1,1,1,1
2187,0,[None],0.734504132231405,17,1,1,1,1,1,0,0,0,1,1,1,1,1
2187,1,[None],0.6043388429752066,4,1,1,1,0,1,0,1,1,1,0,1,0,1
2187,2,[None],0.6002066115702479,19,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.6353305785123967,19,1,1,0,1,1,1,1,0,1,1,1,1,1
6561,1,[None],0.7045454545454545,1,1,1,1,1,1,0,1,1,1,1,0,1,1
6561,2,[None],0.6993801652892563,29,1,1,1,1,1,1,1,1,0,1,1,1,1
19683,0,[None],0.609504132231405,14,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.7024793388429752,5,0,1,1,1,0,1,1,0,1,1,1,1,1
19683,2,[None],0.5857438016528925,21,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.65599173553719,26,0,1,1,1,1,0,1,1,1,1,1,1,1
59049,1,[None],0.6735537190082646,19,1,1,1,1,1,1,1,1,1,0,0,1,1
59049,2,[None],0.7231404958677685,12,1,1,1,1,1,1,1,1,1,1,1,1,1
