random_seed,fold,threshold,roc_auc,C,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.6611570247933884,3.4389486726697283,1,1,1,0,1,0
3,1,[None],0.3388429752066116,95.07143556956098,1,1,1,0,1,1
3,2,[None],0.5650826446280992,0.0001,0,0,1,1,1,0
9,0,[None],0.5475206611570248,1.760002519704412,0,1,1,0,0,0
9,1,[None],0.618801652892562,0.0001,0,0,1,0,0,0
9,2,[None],0.5495867768595042,37.45407443072437,1,1,0,0,1,0
27,0,[None],0.5599173553719008,30.424293871729475,1,1,0,1,1,1
27,1,[None],0.47830578512396693,73.19942098174633,1,1,1,1,1,1
27,2,[None],0.6332644628099173,3.594639694089268,0,0,0,0,1,0
81,0,[None],0.6797520661157024,37.45407443072437,1,1,0,1,0,1
81,1,[None],0.38636363636363635,95.07143556956098,0,0,1,1,1,1
81,2,[None],0.6301652892561984,0.1367588648156266,0,1,1,1,0,0
243,0,[None],0.5526859504132232,0.0001,0,1,1,1,0,0
243,1,[None],0.6745867768595041,37.45407443072437,1,1,0,1,0,1
243,2,[None],0.5568181818181818,21.233989833916546,0,1,0,0,1,0
729,0,[None],0.6601239669421488,37.45407443072437,1,1,0,0,0,1
729,1,[None],0.6115702479338843,2.0585473711308153,1,1,1,1,0,0
729,2,[None],0.5216942148760331,95.07143556956098,0,1,0,0,1,0
2187,0,[None],0.5526859504132232,0.0001,0,0,0,0,1,1
2187,1,[None],0.6611570247933884,3.4389486726697283,0,1,0,0,1,0
2187,2,[None],0.5857438016528925,4.6451366269585,1,1,0,1,0,1
6561,0,[None],0.4762396694214876,4.6451366269585,1,0,0,0,0,0
6561,1,[None],0.7169421487603306,2.199923504573497,1,1,0,1,1,0
6561,2,[None],0.6115702479338843,37.45407443072437,1,0,1,1,1,0
19683,0,[None],0.6849173553719008,3.4389486726697283,0,1,0,0,1,0
19683,1,[None],0.615702479338843,2.2350401165473137,1,1,0,1,0,0
19683,2,[None],0.615702479338843,0.0001,1,0,0,1,0,1
59049,0,[None],0.6012396694214875,0.13437967889314675,1,0,0,1,0,1
59049,1,[None],0.6270661157024793,0.0001,1,1,0,0,0,1
59049,2,[None],0.731404958677686,95.07143556956098,1,1,0,0,1,0
