random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.5464876033057852,4,485,0.9624848476471691,1,1,1,1,1,0
3,1,[None],0.5320247933884298,9,446,0.001,1,0,1,1,1,1
3,2,[None],0.4896694214876033,7,164,0.001,1,1,1,1,1,1
9,0,[None],0.6332644628099174,1,453,0.3456175550411505,1,1,1,1,1,1
9,1,[None],0.6952479338842974,8,467,0.001,1,1,1,0,0,1
9,2,[None],0.4452479338842975,8,21,0.001,1,1,1,1,1,1
27,0,[None],0.49586776859504134,1,437,0.001,0,1,1,0,0,1
27,1,[None],0.4194214876033058,4,146,0.612241041827657,1,1,1,1,1,1
27,2,[None],0.7024793388429752,1,408,1.0,1,1,1,0,1,0
81,0,[None],0.5454545454545454,7,11,0.9699399423098324,1,1,1,1,1,1
81,1,[None],0.59400826446281,1,434,1.0,1,1,0,0,0,1
81,2,[None],0.6539256198347108,1,408,1.0,1,1,1,1,1,1
243,0,[None],0.45867768595041325,3,259,0.7033159399362827,1,1,1,1,1,1
243,1,[None],0.5216942148760331,1,407,0.5296542530839552,1,1,1,0,0,0
243,2,[None],0.5299586776859504,1,434,0.8172009246852563,1,1,1,1,1,1
729,0,[None],0.6363636363636365,8,482,0.8753506506216994,1,1,1,1,1,1
729,1,[None],0.703512396694215,5,485,0.9153675429183975,1,1,1,0,0,0
729,2,[None],0.5113636363636364,1,16,0.6367740008525166,0,0,1,0,1,1
2187,0,[None],0.6363636363636364,2,146,0.366995481450398,1,1,1,1,1,0
2187,1,[None],0.6301652892561984,4,136,0.8289087716427774,0,1,0,0,0,1
2187,2,[None],0.5661157024793388,1,432,0.986133692360444,1,1,1,0,1,1
6561,0,[None],0.5392561983471075,2,409,0.001,0,0,1,1,1,0
6561,1,[None],0.5640495867768596,1,16,0.6367740008525166,1,1,1,0,1,0
6561,2,[None],0.5723140495867769,1,452,1.0,0,1,0,1,1,1
19683,0,[None],0.6167355371900827,1,16,0.5065026941925355,0,1,1,0,0,0
19683,1,[None],0.5206611570247934,1,114,0.42768068083763006,1,0,0,0,0,0
19683,2,[None],0.5847107438016529,1,434,1.0,1,0,0,0,0,1
59049,0,[None],0.4256198347107437,1,114,0.001,1,1,1,1,1,1
59049,1,[None],0.6725206611570248,3,39,0.29046170146085426,0,0,1,0,0,1
59049,2,[None],0.7169421487603306,1,16,0.5420800800632307,1,1,1,1,0,1
