C,kernel,gamma,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
1.0,rbf,scale,0,1,0,0,1,1,1,0,1
1.0,rbf,scale,1,0,1,1,1,0,1,0,0
1.0,rbf,scale,1,1,1,1,1,1,1,1,1
1.0,rbf,scale,1,0,0,1,0,1,0,1,1
1.0,rbf,scale,1,1,0,1,1,1,0,0,1
1.0,rbf,scale,1,1,1,0,0,0,0,1,1
1.0,rbf,scale,0,1,1,0,0,1,1,1,1
1.0,rbf,scale,1,1,1,1,1,0,1,0,0
1.0,rbf,scale,1,1,1,0,1,1,0,0,1
1.0,rbf,scale,1,0,0,0,0,0,1,1,1
1.0,rbf,scale,1,1,0,0,0,1,1,1,1
1.0,rbf,scale,0,0,1,1,1,1,1,0,1
1.0,rbf,scale,0,1,1,1,0,1,0,0,1
1.0,rbf,scale,0,1,1,0,0,1,0,1,1
1.0,rbf,scale,1,1,1,1,1,0,0,0,1
1.0,rbf,scale,1,1,1,0,0,1,1,1,1
1.0,rbf,scale,1,1,0,0,1,0,1,1,0
1.0,rbf,scale,0,0,0,1,1,0,1,1,1
1.0,rbf,scale,1,1,0,0,1,0,1,0,1
1.0,rbf,scale,1,0,1,1,1,1,0,1,0
1.0,rbf,scale,1,0,0,1,1,0,1,1,1
0.001,sigmoid,auto,0,1,0,0,1,1,1,0,1
0.001,sigmoid,auto,1,0,1,1,1,0,1,0,0
0.001,sigmoid,auto,1,1,1,1,1,1,1,1,1
0.001,sigmoid,auto,1,0,0,1,0,1,0,1,1
0.001,sigmoid,auto,1,1,0,1,1,1,0,0,1
0.001,sigmoid,auto,1,1,1,0,0,0,0,1,1
0.001,sigmoid,auto,0,1,1,0,0,1,1,1,1
0.001,sigmoid,auto,1,1,1,1,1,0,1,0,0
0.001,sigmoid,auto,1,1,1,0,1,1,0,0,1
0.001,sigmoid,auto,1,0,0,0,0,0,1,1,1
0.001,sigmoid,auto,1,1,0,0,0,1,1,1,1
0.001,sigmoid,auto,0,0,1,1,1,1,1,0,1
0.001,sigmoid,auto,0,1,1,1,0,1,0,0,1
0.001,sigmoid,auto,0,1,1,0,0,1,0,1,1
0.001,sigmoid,auto,1,1,1,1,1,0,0,0,1
0.001,sigmoid,auto,1,1,1,0,0,1,1,1,1
0.001,sigmoid,auto,1,1,0,0,1,0,1,1,0
0.001,sigmoid,auto,0,0,0,1,1,0,1,1,1
0.001,sigmoid,auto,1,1,0,0,1,0,1,0,1
0.001,sigmoid,auto,1,0,1,1,1,1,0,1,0
0.001,sigmoid,auto,1,0,0,1,1,0,1,1,1
0.8,sigmoid,scale,0,1,0,0,1,1,1,0,1
0.8,sigmoid,scale,1,0,1,1,1,0,1,0,0
0.8,sigmoid,scale,1,1,1,1,1,1,1,1,1
0.8,sigmoid,scale,1,0,0,1,0,1,0,1,1
0.8,sigmoid,scale,1,1,0,1,1,1,0,0,1
0.8,sigmoid,scale,1,1,1,0,0,0,0,1,1
0.8,sigmoid,scale,0,1,1,0,0,1,1,1,1
0.8,sigmoid,scale,1,1,1,1,1,0,1,0,0
0.8,sigmoid,scale,1,1,1,0,1,1,0,0,1
0.8,sigmoid,scale,1,0,0,0,0,0,1,1,1
0.8,sigmoid,scale,1,1,0,0,0,1,1,1,1
0.8,sigmoid,scale,0,0,1,1,1,1,1,0,1
0.8,sigmoid,scale,0,1,1,1,0,1,0,0,1
0.8,sigmoid,scale,0,1,1,0,0,1,0,1,1
0.8,sigmoid,scale,1,1,1,1,1,0,0,0,1
0.8,sigmoid,scale,1,1,1,0,0,1,1,1,1
0.8,sigmoid,scale,1,1,0,0,1,0,1,1,0
