random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8677685950413223,13,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3,1,[None],0.9142561983471075,23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
3,2,[None],0.8884297520661156,15,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,0,[None],0.9493801652892562,18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
9,1,[None],0.8739669421487603,24,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.8708677685950413,14,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
27,0,[None],0.8894628099173554,12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
27,1,[None],0.9152892561983471,27,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
27,2,[None],0.8832644628099173,15,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.9214876033057852,26,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
81,1,[None],0.8285123966942148,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.8956611570247934,24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9132231404958678,12,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
243,1,[None],0.9555785123966942,4,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
243,2,[None],0.9328512396694214,14,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
729,0,[None],0.990702479338843,17,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
729,1,[None],0.8801652892561983,26,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
729,2,[None],0.8553719008264463,12,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
2187,0,[None],0.8987603305785125,12,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
2187,1,[None],0.9349173553719008,14,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2187,2,[None],0.9028925619834711,22,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.9039256198347108,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.8409090909090909,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
6561,2,[None],0.918388429752066,9,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
19683,0,[None],0.9917355371900827,12,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
19683,1,[None],0.8698347107438017,26,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
19683,2,[None],0.8512396694214877,11,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
59049,0,[None],0.8997933884297521,27,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.9163223140495868,13,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
59049,2,[None],0.868801652892562,12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
