random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8615702479338843,5,144,0.6646178899627824,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
3,1,[None],0.9462809917355371,1,433,0.6015138967314656,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
3,2,[None],0.9152892561983472,3,209,0.19104964392499016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.9648760330578513,2,446,0.5398028996737351,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9,1,[None],0.9504132231404959,1,433,0.6015138967314656,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
9,2,[None],0.9276859504132232,1,222,0.44866947907230487,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0
27,0,[None],0.8832644628099173,1,328,0.9028091403563189,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
27,1,[None],0.9225206611570248,8,471,0.8928628547495149,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
27,2,[None],0.9524793388429752,1,433,0.6015138967314656,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1
81,0,[None],0.9628099173553719,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0
81,1,[None],0.8388429752066116,3,249,0.3015774315069529,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
81,2,[None],0.9669421487603307,4,485,0.9624848476471691,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9896694214876033,1,433,0.6015138967314656,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
243,1,[None],0.9214876033057852,1,407,0.7071504865037695,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1
243,2,[None],0.9380165289256198,1,454,0.405810632971011,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
729,0,[None],0.9648760330578513,6,369,0.8987598480537784,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
729,1,[None],0.9235537190082644,4,475,0.7322619478695936,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
729,2,[None],0.909090909090909,6,86,0.06598654139229423,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
2187,0,[None],0.9483471074380165,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2187,1,[None],0.890495867768595,9,482,0.8085889507683447,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2187,2,[None],0.9049586776859504,1,15,0.664318837153841,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
6561,0,[None],0.9256198347107438,5,240,0.5768087939109838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
6561,1,[None],0.9483471074380165,1,328,0.9028091403563189,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
6561,2,[None],0.9462809917355373,3,49,0.6845487934856448,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1
19683,0,[None],0.9824380165289256,2,169,0.9429667942086066,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
19683,1,[None],0.871900826446281,3,249,0.3015774315069529,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.9049586776859504,1,345,0.4150513484610965,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1
59049,0,[None],0.9504132231404959,5,470,0.43310997043024463,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
59049,1,[None],0.9586776859504132,3,205,0.9126039263440425,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
59049,2,[None],0.8698347107438017,4,58,0.8632403224497179,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
