random_seed,fold,threshold,roc_auc,C,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.9276859504132232,1.6986490717937102,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
3,1,[None],0.9152892561983471,0.10876701855541483,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0
3,2,[None],0.9400826446280992,5.8084554084587285,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
9,0,[None],1.0,43.194558669709714,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0
9,1,[None],0.9070247933884297,0.0001,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
9,2,[None],0.8770661157024794,4.6451366269585,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1
27,0,[None],0.9462809917355371,0.9420731827983654,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
27,1,[None],0.9648760330578512,52.475690687580624,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
27,2,[None],0.8636363636363636,17.052495316316783,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
81,0,[None],0.9566115702479339,0.0001,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
81,1,[None],0.9111570247933884,30.424293871729475,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
81,2,[None],0.9380165289256198,0.8471289885851437,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
243,0,[None],0.9256198347107437,95.07143556956098,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
243,1,[None],0.9648760330578512,49.517741493436006,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
243,2,[None],0.871900826446281,0.0001,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
729,0,[None],1.0,37.45407443072437,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
729,1,[None],0.9638429752066116,30.424293871729475,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
729,2,[None],0.9152892561983471,11.019651622844346,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
2187,0,[None],0.9276859504132231,0.38029838429995305,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1
2187,1,[None],0.8822314049586777,0.0001,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2187,2,[None],0.8925619834710744,6.505252793368653,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
6561,0,[None],0.96900826446281,18.182578538213342,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6561,1,[None],0.9235537190082644,96.56320674425262,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1
6561,2,[None],0.9421487603305785,8.062491274032555,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1
19683,0,[None],0.9855371900826446,0.6494762886743226,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
19683,1,[None],0.9793388429752066,17.052495316316783,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
19683,2,[None],0.8264462809917356,0.0001,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
59049,0,[None],0.9421487603305785,0.0001,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0
59049,1,[None],0.9700413223140496,95.07143556956098,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
59049,2,[None],0.893595041322314,37.45407443072437,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0
