rutina__word_properties__word_properties_min_concr,rutina__word_properties__word_properties_max_concr,rutina__word_properties__word_properties_std_concr,rutina__word_properties__word_properties_median_concr,rutina__word_properties__word_properties_kurt_concr,rutina__word_properties__word_properties_skew_concr,rutina__word_properties__word_properties_mean_concr,agradable__word_properties__word_properties_min_concr,agradable__word_properties__word_properties_max_concr,agradable__word_properties__word_properties_std_concr,agradable__word_properties__word_properties_median_concr,agradable__word_properties__word_properties_kurt_concr,agradable__word_properties__word_properties_skew_concr,agradable__word_properties__word_properties_mean_concr,video_retelling__word_properties__word_properties_min_concr,video_retelling__word_properties__word_properties_max_concr,video_retelling__word_properties__word_properties_std_concr,video_retelling__word_properties__word_properties_median_concr,video_retelling__word_properties__word_properties_kurt_concr,video_retelling__word_properties__word_properties_skew_concr,video_retelling__word_properties__word_properties_mean_concr,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh,video_retelling__word_properties__mean_log_frq,video_retelling__word_properties__mean_num_phonemes,video_retelling__word_properties__mean_num_syll,video_retelling__word_properties__mean_phon_neigh,rudas,id
2.809,6.383,1.045920013,4.0475,-0.841872646,0.426060828,4.239307692,,,,,,,,,,,,,,,1.97085105,5.333333333,2.2,29.53333333,,,,,,,,,18.0,LIM0003_0039
2.809,5.814,1.035589753,4.6795,-1.199429682,-0.354453193,4.609444444,,,,,,,,,,,,,,,1.599995544,5.140350877,2.438596491,29.40350877,,,,,,,,,19.0,TUM0008_0053
2.625,6.328,1.140449298,4.879,-1.295317391,-0.276274764,4.61228,,,,,,,,,,,,,,,1.500385608,5.294117647,2.264705882,23.52941176,,,,,,,,,19.0,TUM0009_0216
2.809,6.235,1.128595563,4.019,-1.455771537,0.099856633,4.218642857,2.308,6.085,1.054601884,4.7405,-0.843136128,-0.510073496,4.544842105,,,,,,,,1.798134657,5.641791045,2.507462687,33.85074627,1.808386196,5.715686275,2.529411765,22.57843137,,,,,25.0,LIM0006_0042
2.532,6.443,1.068056462,4.897,-0.653694955,-0.386551099,4.974893617,2.627,6.47,1.02636237,5.557,-0.6246946,-0.641916885,5.1333125,2.71,6.443,0.949196642,4.563,-0.685894305,0.082407019,4.77588,1.539121515,5.168316832,2.287128713,25.66336634,1.663231373,5.533333333,2.473333333,25.22666667,1.447639,5.064516129,2.322580645,26.32258065,24.0,LIM0002_0098
,,,,,,,2.627,6.289,1.004303045,3.9135,-0.374762344,0.608691717,4.0845,2.745,6.02,0.910429301,4.563,-0.825188095,0.016936775,4.579526316,,,,,1.889132571,5.349206349,2.111111111,21.53968254,1.665505267,5.0,2.233333333,22.91666667,23.0,LIM0009_0015
,,,,,,,2.976,5.997,0.943915942,4.158,-1.235109687,0.021326806,4.626166667,2.171,6.47,1.225318275,4.788,-0.663109997,-0.315800055,4.486,,,,,1.662187286,6.285714286,2.673469388,22.18367347,1.640936603,5.068965517,2.362068966,29.77586207,20.0,HUA0008_0273
,,,,,,,2.321,6.47,1.526867671,4.35,-1.604199275,-0.043790426,4.563857143,,,,,,,,,,,,1.903369474,5.684210526,2.342105263,17.97368421,,,,,16.0,TUM0009_0231
2.171,6.506,1.252051212,4.861,-1.10914099,-0.369056621,4.578615385,2.186,6.597,1.315127292,4.9665,-1.126787785,-0.291112499,4.694545455,2.996,6.443,1.215121491,4.066,-1.627316576,0.068131644,4.841384615,1.850201902,5.147540984,2.393442623,30.47540984,1.864566087,5.492753623,2.31884058,19.11594203,1.513966123,4.912280702,2.263157895,32.64912281,22.0,TUM0002_0175
,,,,,,,2.572,5.997,0.990264792,4.169,-0.710415586,0.139716118,4.17896,,,,,,,,,,,,1.880878117,5.65,2.35,17.8,,,,,22.0,TUM0003_0167
2.401,6.105,1.094046078,3.9295,-0.759853157,0.351044016,4.0705,,,,,,,,,,,,,,,1.743432117,5.066666667,2.283333333,31.2,,,,,,,,,27.0,TUM0006_0250
2.438,6.293,1.16116047,4.19,-1.056927646,0.117442153,4.117677419,,,,,,,,,,,,,,,1.621480971,5.558823529,2.426470588,21.45588235,,,,,,,,,26.0,LIM0004_0054
