random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__vr__count
3,0,[None],0.7138429752066116,5,214,0.026393707617351093,1
3,1,[None],0.7221074380165289,1,16,0.7911165497339717,1
3,2,[None],0.6518595041322314,2,464,0.8083122591848525,1
9,0,[None],0.8057851239669421,6,78,0.15683852581586644,1
9,1,[None],0.7665289256198348,1,454,0.2595212016184169,1
9,2,[None],0.740702479338843,1,153,0.83857200516012,1
27,0,[None],0.5681818181818182,6,86,0.06598654139229423,1
27,1,[None],0.768595041322314,4,60,0.6709447696374227,1
27,2,[None],0.7148760330578512,6,78,0.15683852581586644,1
81,0,[None],0.8491735537190083,5,93,0.969615043136794,1
81,1,[None],0.5888429752066117,1,15,1.0,1
81,2,[None],0.6931818181818181,6,86,0.06598654139229423,1
243,0,[None],0.7665289256198348,1,114,0.3380496449667493,1
243,1,[None],0.8233471074380165,2,446,0.5398028996737351,1
243,2,[None],0.5681818181818181,6,166,0.06449479193573761,1
729,0,[None],0.7995867768595042,6,78,0.15683852581586644,1
729,1,[None],0.7086776859504132,2,49,1.0,1
729,2,[None],0.7148760330578513,8,430,0.007945178400659513,1
2187,0,[None],0.6673553719008265,1,16,0.3420458175548599,1
2187,1,[None],0.7386363636363636,6,166,0.06449479193573761,1
2187,2,[None],0.6952479338842975,6,86,0.06598654139229423,1
6561,0,[None],0.6973140495867768,7,469,0.8949325230772212,1
6561,1,[None],0.7892561983471075,5,240,0.5768087939109838,1
6561,2,[None],0.7045454545454546,1,16,0.7911157663413043,1
19683,0,[None],0.7241735537190082,1,433,0.6015138967314656,1
19683,1,[None],0.8130165289256198,1,114,0.42768068083763006,1
19683,2,[None],0.7241735537190083,1,16,0.6367740008525166,1
59049,0,[None],0.7117768595041323,5,93,0.969615043136794,1
59049,1,[None],0.7954545454545456,5,305,0.021970343994066725,1
59049,2,[None],0.6673553719008265,2,469,0.7183131575108356,1
