feature,importance
Animales__properties__concreteness_imputada_promedio,0.18275194
Animales__properties__sa_num_phon_std,0.1811685
Animales__properties__granularidad_std,0.13376783
Animales__properties__sa_NP__std,0.119809665
Animales__properties__log_frq_std,0.09080283
Animales__properties__granularidad_promedio,0.055479646
Animales__properties__sa_NP__promedio,0.048625913
Animales__properties__concreteness_imputada_std,0.048011653
Animales__properties__log_frq_promedio,0.036760792
Animales__properties__sa_num_phon_promedio,0.035838243
Animales__properties__sa_num_syll_promedio,0.033085395
Animales__properties__osv,0.02458213
Animales__properties__sa_num_syll_std,0.00931543
