random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,video_retelling__sentiment__NEG,video_retelling__sentiment__NEU,video_retelling__sentiment__POS
3,0,[None],-0.09512387546443368,5,448,0.001,1,1,0
3,1,[None],-0.06866397984117456,3,84,0.001,1,0,1
3,2,[None],-0.24812054506734227,1,26,0.12127001216514591,1,1,0
3,3,[None],-0.033588345504497186,5,3,0.001,1,1,1
3,4,[None],-0.07899798522873946,1,485,0.001,0,0,1
